,RealCoupon,ModelCoupon,PercentError,,RealCoupon,ModelCoupon
8/22/2014,2.88858,2.977042767,0.030625002,8/21/2014,3.15678,3.157616495
8/21/2014,2.88858,3.00296356,0.039598543,8/20/2014,3.18288,3.179258024
8/20/2014,2.90569,3.025752804,0.041319895,8/19/2014,3.16484,3.16178347
8/19/2014,2.89365,3.013843073,0.041536839,8/18/2014,3.13998,3.148857202
8/18/2014,2.87784,3.001951431,0.043126592,8/15/2014,3.09358,3.114295502
8/15/2014,2.83339,2.970319021,0.048326923,8/14/2014,3.13996,3.135780128
8/14/2014,2.87885,2.98945451,0.038419685,8/13/2014,3.16116,3.137319217
8/13/2014,2.90138,2.990029435,0.030554231,8/12/2014,3.19212,3.168795578
8/12/2014,2.93093,3.01802977,0.029717451,8/11/2014,3.18264,3.157665394
8/11/2014,2.9176,3.004239772,0.029695562,8/8/2014,3.17218,3.156094649
8/8/2014,2.90805,3.003965135,0.032982629,8/7/2014,3.1813,3.153796809
8/7/2014,2.91316,3.003143736,0.030888704,8/6/2014,3.2168,3.183298179
8/6/2014,2.94594,3.029745755,0.028447883,8/5/2014,3.21632,3.19091518
8/5/2014,2.94388,3.036251932,0.031377614,8/4/2014,3.21782,3.196698102
8/4/2014,2.94612,3.042938765,0.032863144,8/1/2014,3.22842,3.211015888
8/1/2014,2.95822,3.056123237,0.03309532,7/31/2014,3.27611,3.256008336
7/31/2014,3.00294,3.092582645,0.029851627,7/30/2014,3.26579,3.244948374
7/30/2014,2.99631,3.080277801,0.028023736,7/29/2014,3.18238,3.154237301
7/29/2014,2.92487,2.994598506,0.023839865,7/28/2014,3.20496,3.161223629
7/28/2014,2.94296,3.001089181,0.019751944,7/25/2014,3.19153,3.135100171
7/25/2014,2.93082,2.978004343,0.016099366,7/24/2014,3.23593,3.164992748
7/24/2014,2.97553,3.0073239,0.010685122,7/23/2014,3.18443,3.120916315
7/23/2014,2.932,2.966824453,0.011877371,7/22/2014,3.17134,3.123138734
7/22/2014,2.91837,2.968426238,0.017152122,7/21/2014,3.17973,3.126668137
7/21/2014,2.92587,2.969173098,0.014800076,7/18/2014,3.18346,3.114333957
7/18/2014,2.92954,2.960284666,0.010494708,7/17/2014,3.184,3.109836084
7/17/2014,2.93396,2.957820406,0.008132492,7/16/2014,3.23588,3.146675728
7/16/2014,2.98459,2.992667712,0.002706473,7/15/2014,3.23276,3.154110994
7/15/2014,2.98623,3.001448891,0.005096356,7/14/2014,3.22381,3.149087125
7/14/2014,2.98577,3.001344888,0.005216372,7/11/2014,3.1874,3.121592249
