Pricing Date,FNMA,FNCI,GNMA,GNMAII
20130129,2.55981,-1,-1,-1
20130128,2.53933,-1,-1,-1
20130125,2.50532,-1,-1,-1
20130124,2.36742,-1,-1,-1
20130123,2.34331,-1,-1,-1
20130122,2.35221,-1,-1,-1
20130118,2.35028,-1,-1,-1
20130117,2.36891,-1,-1,-1
20130116,2.29441,-1,-1,-1
20130115,2.29384,-1,-1,-1
20130114,2.2784,-1,-1,-1
20130111,2.31308,-1,-1,-1
20130110,2.32919,-1,-1,-1
20130109,2.29263,-1,-1,-1
20130108,2.31701,-1,-1,-1
20130107,2.34263,-1,-1,-1
20130104,2.38072,-1,-1,-1
20130103,2.36511,-1,-1,-1
20130102,2.26242,-1,-1,-1
20121231,2.20009,-1,-1,-1
20121228,2.18544,-1,-1,-1
20121227,2.1768,-1,-1,-1
20121226,2.19828,-1,-1,-1
20121224,2.21511,-1,-1,-1
20121221,2.18757,-1,-1,-1
20121220,2.22135,-1,-1,-1
20121219,2.23717,-1,-1,-1
20121218,2.27802,-1,-1,-1
20121217,2.2148,-1,-1,-1
20121214,2.17471,-1,-1,-1
20121213,2.17954,-1,-1,-1
20121212,2.16985,-1,-1,-1
20121211,2.1257,-1,-1,-1
20121210,2.12632,-1,-1,-1
20121207,2.16633,-1,-1,-1
20121206,2.10827,-1,-1,-1
20121205,2.07994,-1,-1,-1
20121204,2.06783,-1,-1,-1
20121203,2.08622,-1,-1,-1
20121130,2.07253,-1,-1,-1
20121129,2.07244,-1,-1,-1
20121128,2.05097,-1,-1,-1
20121127,2.04405,-1,-1,-1
20121126,2.1329,-1,-1,-1
20121123,2.20126,-1,-1,-1
20121121,2.19254,-1,-1,-1
20121120,2.14204,-1,-1,-1
20121119,2.06997,-1,-1,-1
20121116,2.03611,-1,-1,-1
20121115,2.09234,-1,-1,-1
20121114,2.13435,-1,-1,-1
20121113,2.08298,-1,-1,-1
20121109,2.0596,-1,-1,-1
20121108,2.04956,-1,-1,-1
20121107,2.09197,-1,-1,-1
20121106,2.24889,-1,-1,-1
20121105,2.14794,-1,-1,-1
20121102,2.19493,-1,-1,-1
20121101,2.23243,-1,-1,-1
20121031,2.14235,-1,-1,-1
20121029,2.17586,-1,-1,-1
20121026,2.20624,-1,-1,-1
20121025,2.27753,-1,-1,-1
20121024,2.22502,-1,-1,-1
20121023,2.18831,-1,-1,-1
20121022,2.2048,-1,-1,-1
20121019,2.17149,-1,-1,-1
20121018,2.23804,-1,-1,-1
20121017,2.19994,-1,-1,-1
20121016,2.09031,-1,-1,-1
20121015,2.0434,-1,-1,-1
20121012,2.01487,-1,-1,-1
20121011,2.01882,-1,-1,-1
20121010,2.0567,-1,-1,-1
20121009,2.1122,-1,-1,-1
20121005,2.09992,-1,-1,-1
20121004,2.06588,-1,-1,-1
20121003,1.97292,-1,-1,-1
20121002,1.89432,-1,-1,-1
20121001,1.97791,-1,-1,-1
20120928,2.03991,-1,-1,-1
20120927,2.05097,-1,-1,-1
20120926,1.9725,-1,-1,-1
20120925,1.97862,-1,-1,-1
20120924,2.04335,-1,-1,-1
20120921,2.0967,-1,-1,-1
20120920,2.16993,-1,-1,-1
20120919,2.21086,-1,-1,-1
20120918,2.2694,-1,-1,-1
20120917,2.28117,-1,-1,-1
20120914,2.26805,-1,-1,-1
20120913,2.20601,-1,-1,-1
20120912,2.42922,-1,-1,-1
20120911,2.39371,-1,-1,-1
20120910,2.37785,-1,-1,-1
20120907,2.37384,-1,-1,-1
20120906,2.45607,-1,-1,-1
20120905,2.39528,-1,-1,-1
20120904,2.38417,-1,-1,-1
20120831,2.36895,-1,-1,-1
20120830,2.43371,-1,-1,-1
20120829,2.46878,-1,-1,-1
20120828,2.41104,-1,-1,-1
20120827,2.44075,-1,-1,-1
20120824,2.47609,-1,-1,-1
20120823,2.44471,-1,-1,-1
20120822,2.51207,-1,-1,-1
20120821,2.62589,-1,-1,-1
20120820,2.61868,-1,-1,-1
20120817,2.63904,-1,-1,-1
20120816,2.67019,-1,-1,-1
20120815,2.63813,-1,-1,-1
20120814,2.50321,-1,-1,-1
20120813,2.43262,-1,-1,-1
20120810,2.43735,-1,-1,-1
20120809,2.45717,-1,-1,-1
20120808,2.45388,-1,-1,-1
20120807,2.46483,-1,-1,-1
20120806,2.41026,-1,-1,-1
20120803,2.42675,-1,-1,-1
20120802,2.33657,-1,-1,-1
20120801,2.36588,-1,-1,-1
20120731,2.3146,-1,-1,-1
20120730,2.33651,-1,-1,-1
20120727,2.46854,-1,-1,-1
20120726,2.28779,-1,-1,-1
20120725,2.26337,-1,-1,-1
20120724,2.24718,-1,-1,-1
20120723,2.27723,-1,-1,-1
20120720,2.32496,-1,-1,-1
20120719,2.39312,-1,-1,-1
20120718,2.37585,-1,-1,-1
20120717,2.4361,-1,-1,-1
20120716,2.39684,-1,-1,-1
20120713,2.4585,-1,-1,-1
20120712,2.40343,-1,-1,-1
20120711,2.41162,-1,-1,-1
20120710,2.42303,-1,-1,-1
20120709,2.4492,-1,-1,-1
20120706,2.47665,-1,-1,-1
20120705,2.55638,-1,-1,-1
20120703,2.58328,-1,-1,-1
20120702,2.54532,-1,-1,-1
20120629,2.62372,-1,-1,-1
20120628,2.55096,-1,-1,-1
20120627,2.58867,-1,-1,-1
20120626,2.61639,-1,-1,-1
20120625,2.5785,-1,-1,-1
20120622,2.66819,-1,-1,-1
20120621,2.61405,-1,-1,-1
20120620,2.64221,-1,-1,-1
20120619,2.5989,-1,-1,-1
20120618,2.59515,-1,-1,-1
20120615,2.61355,-1,-1,-1
20120614,2.63094,-1,-1,-1
20120613,2.65256,-1,-1,-1
20120612,2.69596,-1,-1,-1
20120611,2.6399,-1,-1,-1
20120608,2.67911,-1,-1,-1
20120607,2.67758,-1,-1,-1
20120606,2.70699,-1,-1,-1
20120605,2.67216,-1,-1,-1
20120604,2.62226,-1,-1,-1
20120601,2.53159,-1,-1,-1
20120531,2.64639,-1,-1,-1
20120530,2.68486,-1,-1,-1
20120529,2.77149,-1,-1,-1
20120525,2.76345,-1,-1,-1
20120524,2.76054,-1,-1,-1
20120523,2.73508,-1,-1,-1
20120522,2.76969,-1,-1,-1
20120521,2.73357,-1,-1,-1
20120518,2.67797,-1,-1,-1
20120517,2.67184,-1,-1,-1
20120516,2.74013,-1,-1,-1
20120515,2.76971,-1,-1,-1
20120514,2.77397,-1,-1,-1
20120511,2.80528,-1,-1,-1
20120510,2.82461,-1,-1,-1
20120509,2.83276,-1,-1,-1
20120508,2.8457,-1,-1,-1
20120507,2.85847,-1,-1,-1
20120504,2.85087,-1,-1,-1
20120503,2.88233,-1,-1,-1
20120502,2.87338,-1,-1,-1
20120501,2.89085,-1,-1,-1
20120430,2.85859,-1,-1,-1
20120427,2.87167,-1,-1,-1
20120426,2.8924,-1,-1,-1
20120425,2.92241,-1,-1,-1
20120424,2.90097,-1,-1,-1
20120423,2.87081,-1,-1,-1
20120420,2.90335,-1,-1,-1
20120419,2.88744,-1,-1,-1
20120418,2.93046,-1,-1,-1
20120417,2.9571,-1,-1,-1
20120416,2.91808,-1,-1,-1
20120413,2.93227,-1,-1,-1
20120412,2.96745,-1,-1,-1
20120411,2.93078,-1,-1,-1
20120410,2.91099,-1,-1,-1
20120409,2.91152,-1,-1,-1
20120406,2.93072,-1,-1,-1
20120405,3.05396,-1,-1,-1
20120404,3.1088,-1,-1,-1
20120403,3.16492,-1,-1,-1
20120402,3.04496,-1,-1,-1
20120330,3.06692,-1,-1,-1
20120329,3.02196,-1,-1,-1
20120328,3.05684,-1,-1,-1
20120327,3.0399,-1,-1,-1
20120326,3.11828,-1,-1,-1
20120323,3.13245,-1,-1,-1
20120322,3.15708,-1,-1,-1
20120321,3.15732,-1,-1,-1
