asOfDate,4y7y_ATM,5y7y_ATM,3y7y_ATM,5y10y_ATM
1/16/2014,98.76839713,98.01968162,98.73870534,93.74137407
1/15/2014,99.17948063,98.31774274,99.27902732,94.063556
1/14/2014,99.11637892,98.22092614,99.22897106,93.98956952
1/13/2014,98.39427093,97.69880992,98.38440722,93.55359013
1/10/2014,99.37756105,98.57610403,99.4262846,94.34327718
1/9/2014,101.8923996,100.6234612,102.4219279,96.27368069
1/8/2014,102.763012,101.4686615,103.1991197,97.0523041
1/7/2014,102.5328631,101.4581906,102.8189476,96.90021376
1/6/2014,103.7257146,102.6205952,104.0788271,97.90715808
1/3/2014,104.4170578,103.1975665,104.8841367,98.43939547
1/2/2014,105.1410351,103.943659,105.5856034,99.14378905
12/31/2013,105.6709437,104.3101131,106.2263435,99.50547281
12/30/2013,105.0355466,103.7730975,105.5250363,98.9182112
12/27/2013,105.174184,103.8483924,105.7313352,98.91892791
12/26/2013,105.6743344,104.2180435,106.355097,99.33223603
12/24/2013,105.3688124,103.7435028,106.2527737,99.321478
12/23/2013,105.2436616,103.5551133,106.2333955,99.06392789
12/20/2013,105.132393,103.3872254,106.1383274,98.93709126
12/19/2013,105.5276924,103.899046,106.4505528,99.51841656
12/18/2013,105.0065462,103.2729536,105.8697536,99.06636406
12/17/2013,104.7643216,103.077836,105.6567432,98.97048152
12/16/2013,105.1937,103.5087584,106.1442463,99.35791142
12/13/2013,105.3300129,103.5905134,106.3131688,99.44329661
12/12/2013,105.6351723,103.8681665,106.6612932,99.69366398
12/11/2013,105.4306143,103.7118046,106.2971908,99.56051675
12/10/2013,105.0286061,103.4716437,105.7933734,99.3918823
12/9/2013,105.587475,103.9733773,106.4647658,99.8073116
12/6/2013,106.0407716,104.312511,107.018246,100.0891002
12/5/2013,106.5472602,104.7687356,107.5949453,100.5387929
12/4/2013,106.5410116,104.6338633,107.6008712,100.3630719
12/3/2013,105.7400868,104.2307274,106.4583696,100.0957558
11/22/2013,103.5682947,102.9591951,103.4434927,99.03904904
11/21/2013,103.6194913,103.0449173,103.4948713,99.10544706
11/20/2013,103.5544469,103.0197771,103.26178,99.07930639
11/19/2013,102.5275273,102.1190075,102.1797328,98.3201834
11/18/2013,102.1894937,101.8158044,101.8369149,98.02768236
11/15/2013,103.23697,102.5243426,103.2201182,98.66403777
11/14/2013,103.6823025,102.8507491,103.7957423,98.92853452
11/13/2013,105.1484378,103.8979457,105.5620027,99.92011445
11/12/2013,105.7021114,104.3392991,106.2685381,100.2945936
