asOfDate,RealCoupon,ModelCoupon,RealMortgageRate
5/28/2013,2.94396,2.923186843,3.76
5/24/2013,2.81497,2.772505094,3.76
5/23/2013,2.82191,2.769545725,3.76
5/22/2013,2.78844,2.759942476,3.515
5/21/2013,2.66453,2.681240729,3.515
5/20/2013,2.71288,2.703788401,3.515
5/17/2013,2.68581,2.698307152,3.515
5/16/2013,2.56388,2.61813578,3.515
5/15/2013,2.66187,2.678311806,3.435
5/14/2013,2.66272,2.691714156,3.435
5/13/2013,2.621,2.66425773,3.435
5/10/2013,2.58686,2.638933026,3.435
5/9/2013,2.49665,2.573124975,3.435
5/8/2013,2.47245,2.568900412,3.345
5/7/2013,2.48894,2.582895072,3.345
5/6/2013,2.4724,2.574924603,3.345
5/3/2013,2.45615,2.549086478,3.345
5/2/2013,2.3421,2.460384035,3.345
5/1/2013,2.31036,2.463332162,3.275
4/30/2013,2.35354,2.486727385,3.275
4/29/2013,2.37448,2.476788836,3.275
4/26/2013,2.37951,2.483002188,3.275
4/25/2013,2.43235,2.516124897,3.275
4/24/2013,2.43239,2.509430888,3.35
4/23/2013,2.43753,2.517506042,3.35
4/22/2013,2.4461,2.51140584,3.35
4/19/2013,2.44783,2.514616174,3.35
4/18/2013,2.43192,2.489663745,3.35
4/17/2013,2.45005,2.508824156,3.335
4/16/2013,2.45465,2.524981202,3.335
4/15/2013,2.43066,2.507078914,3.335
4/12/2013,2.45324,2.531722789,3.335
4/11/2013,2.51808,2.579821773,3.335
4/10/2013,2.54479,2.60148695,3.38
4/9/2013,2.48938,2.559601246,3.38
4/8/2013,2.47695,2.558609728,3.38
4/5/2013,2.41738,2.51135116,3.38
4/4/2013,2.48587,2.569667147,3.38
4/3/2013,2.56472,2.611300596,3.49
4/2/2013,2.6102,2.658552497,3.49
4/1/2013,2.59513,2.643607197,3.49
3/28/2013,2.61433,2.667237632,3.49
3/27/2013,2.60807,2.661339083,3.52
3/26/2013,2.64256,2.704997081,3.52
3/25/2013,2.63948,2.70214445,3.52
3/22/2013,2.64148,2.710873593,3.52
3/21/2013,2.67627,2.720265367,3.52
3/20/2013,2.64698,2.714034646,3.49
3/19/2013,2.60686,2.693698249,3.49
3/18/2013,2.62963,2.718764396,3.49
