asOfDate,2yrSwap,10yrSwap,SwapVol,Coupon
2/4/2013,0.42072,2.059259,88.31297873,2.55563
2/1/2013,0.423508,2.093164,89.4634134,2.59141
1/31/2013,0.431219,2.055601,89.02098687,2.57377
1/30/2013,0.431714,2.077225,89.5098913,2.57729
1/29/2013,0.442237,2.048819,89.22586694,2.55981
1/28/2013,0.445931,2.033106,88.60778354,2.53933
1/25/2013,0.429973,2.004183,87.41376684,2.50532
1/24/2013,0.392924,1.894281,85.3476888,2.36742
1/23/2013,0.389196,1.883302,84.73932974,2.34331
1/22/2013,0.393392,1.885761,84.16057183,2.35221
1/18/2013,0.398631,1.894059,84.17518656,2.35028
1/17/2013,0.404405,1.913672,84.34212801,2.36891
1/16/2013,0.373823,1.857361,83.08517178,2.29441
1/15/2013,0.37199,1.860082,83.02219002,2.29384
1/14/2013,0.378623,1.883561,83.89095851,2.2784
1/11/2013,0.383617,1.903994,84.22884634,2.31308
1/10/2013,0.380653,1.917067,84.39539348,2.32919
1/9/2013,0.374762,1.87765,83.77855915,2.29263
1/8/2013,0.386078,1.892647,83.98371882,2.31701
1/7/2013,0.394001,1.928726,84.06244189,2.34263
1/4/2013,0.400307,1.939275,84.5290302,2.38072
1/3/2013,0.390477,1.927184,84.53346297,2.36511
1/2/2013,0.384969,1.876252,84.68597922,2.26242
12/31/2012,0.384955,1.797312,84.15883512,2.20009
12/28/2012,0.393176,1.76649,82.75954333,2.18544
12/27/2012,0.404156,1.778338,83.18910867,2.1768
12/26/2012,0.408742,1.816595,83.38301059,2.19828
12/24/2012,0.408923,1.827993,83.58874235,2.21511
12/21/2012,0.397928,1.803196,83.34336248,2.18757
12/20/2012,0.399786,1.843098,83.64041512,2.22135
12/19/2012,0.398418,1.842482,84.81510376,2.23717
12/18/2012,0.390965,1.875069,86.01065295,2.27802
12/17/2012,0.371594,1.814056,84.8551236,2.2148
12/14/2012,0.359706,1.756585,83.96408546,2.17471
12/13/2012,0.360765,1.767593,83.81269562,2.17954
12/12/2012,0.354158,1.740826,83.23134421,2.16985
12/11/2012,0.354055,1.694474,82.06317454,2.1257
12/10/2012,0.354684,1.668435,81.77309803,2.12632
12/7/2012,0.352475,1.676668,81.99981676,2.16633
12/6/2012,0.358134,1.63698,81.51900923,2.10827
12/5/2012,0.361975,1.640459,81.51197074,2.07994
12/4/2012,0.367043,1.657397,81.51479201,2.06783
12/3/2012,0.371188,1.670409,81.83556722,2.08622
11/30/2012,0.370351,1.656343,82.17215913,2.07253
11/29/2012,0.376223,1.661168,82.11578839,2.07244
11/28/2012,0.379133,1.653546,82.23183535,2.05097
11/27/2012,0.389988,1.675386,82.72696186,2.04405
11/26/2012,0.399419,1.703314,83.59535982,2.1329
11/23/2012,0.398292,1.727482,84.15859689,2.20126
11/21/2012,0.391023,1.721595,84.30202143,2.19254
11/20/2012,0.376783,1.691797,84.30545654,2.14204
11/19/2012,0.375419,1.655148,84.17170785,2.06997
11/16/2012,0.377932,1.619422,83.68256614,2.03611
11/15/2012,0.373484,1.629136,83.72426954,2.09234
11/14/2012,0.364979,1.624827,83.48795293,2.13435
11/13/2012,0.370584,1.631675,82.99791616,2.08298
11/9/2012,0.377657,1.643175,83.30810406,2.0596
11/8/2012,0.369618,1.643547,82.25219955,2.04956
11/7/2012,0.369821,1.675793,82.82671856,2.09197
11/6/2012,0.398304,1.781269,85.0575546,2.24889
11/5/2012,0.371146,1.712747,84.53494201,2.14794
11/2/2012,0.377449,1.750801,84.83473326,2.19493
11/1/2012,0.379062,1.752377,84.65177705,2.23243
10/31/2012,0.383471,1.730362,84.23566256,2.14235
10/29/2012,0.394822,1.763488,84.12315841,2.17586
10/26/2012,0.398762,1.78755,84.6825391,2.20624
10/25/2012,0.411774,1.866633,85.53998219,2.27753
10/24/2012,0.383662,1.80419,84.88176102,2.22502
10/23/2012,0.394766,1.8054,84.92317873,2.18831
10/22/2012,0.399457,1.822712,85.4846888,2.2048
10/19/2012,0.398559,1.794976,84.5387503,2.17149
10/18/2012,0.389959,1.849109,85.55501364,2.23804
10/17/2012,0.38197,1.842263,85.78360806,2.19994
10/16/2012,0.363049,1.757228,83.44625097,2.09031
10/15/2012,0.370853,1.716632,83.07812837,2.0434
10/12/2012,0.377842,1.712853,82.51700889,2.01487
10/11/2012,0.38549,1.716322,82.85561608,2.01882
10/10/2012,0.388244,1.746745,82.95856662,2.0567
10/9/2012,0.382884,1.776266,83.78549508,2.1122
10/5/2012,0.392057,1.794063,84.49875203,2.09992
10/4/2012,0.372893,1.73733,84.42337153,2.06588
10/3/2012,0.36716,1.683422,84.10932407,1.97292
10/2/2012,0.37406,1.688958,84.46452447,1.89432
10/1/2012,0.370312,1.695096,84.49971394,1.97791
9/28/2012,0.367929,1.705307,84.74443847,2.03991
9/27/2012,0.397066,1.692582,84.60916994,2.05097
9/26/2012,0.419494,1.668585,84.60905445,1.9725
9/25/2012,0.400322,1.711184,85.53840367,1.97862
9/24/2012,0.393537,1.738317,85.41404625,2.04335
9/21/2012,0.389143,1.771002,86.3442313,2.0967
9/20/2012,0.393567,1.782671,86.44968716,2.16993
9/19/2012,0.387689,1.80339,86.7105775,2.21086
9/18/2012,0.387813,1.846186,87.5594104,2.2694
9/17/2012,0.377088,1.872341,88.60370133,2.28117
9/14/2012,0.374969,1.89735,89.59494831,2.26805
9/13/2012,0.374809,1.813548,88.02880433,2.20601
9/12/2012,0.400259,1.854097,90.32176757,2.42922
9/11/2012,0.39768,1.791655,88.88339768,2.39371
9/10/2012,0.398891,1.775334,88.90690174,2.37785
9/7/2012,0.404917,1.766091,88.79505174,2.37384
9/6/2012,0.421446,1.776807,89.75776865,2.45607
9/5/2012,0.397255,1.688132,88.77269969,2.39528
9/4/2012,0.397405,1.682022,89.63739288,2.38417
8/31/2012,0.398635,1.671219,90.59858669,2.36895
8/30/2012,0.427986,1.721129,91.24766634,2.43371
8/29/2012,0.445427,1.753023,90.86747097,2.46878
8/28/2012,0.440114,1.719289,90.47461783,2.41104
8/27/2012,0.444688,1.745728,90.20902914,2.44075
8/24/2012,0.447838,1.777599,90.22508835,2.47609
8/23/2012,0.439007,1.765177,90.01327633,2.44471
8/22/2012,0.466612,1.820835,89.98104226,2.51207
8/21/2012,0.496348,1.907867,90.59980992,2.62589
8/20/2012,0.494082,1.918237,92.39635075,2.61868
8/17/2012,0.497167,1.916185,92.56034742,2.63904
8/16/2012,0.496269,1.949912,93.71786959,2.67019
8/15/2012,0.485625,1.91739,92.61993835,2.63813
8/14/2012,0.469553,1.822475,90.99837572,2.50321
8/13/2012,0.46471,1.758412,89.45431578,2.43262
8/10/2012,0.464847,1.753895,89.12768657,2.43735
8/9/2012,0.478123,1.7944,89.59566231,2.45717
8/8/2012,0.468529,1.778248,89.6561494,2.45388
8/7/2012,0.451695,1.76603,89.10637461,2.46483
8/6/2012,0.43297,1.697346,87.84592698,2.41026
8/3/2012,0.44351,1.721878,88.93201977,2.42675
8/2/2012,0.435415,1.629536,87.43054236,2.33657
8/1/2012,0.432285,1.670479,87.92465528,2.36588
7/31/2012,0.422342,1.611173,87.1362258,2.3146
7/30/2012,0.421769,1.614606,87.33421353,2.33651
7/27/2012,0.451473,1.676332,88.43819484,2.46854
7/26/2012,0.437184,1.558828,86.34780517,2.28779
7/25/2012,0.442163,1.542261,85.97266234,2.26337
7/24/2012,0.443774,1.543977,86.40796628,2.24718
7/23/2012,0.446913,1.57104,86.491923,2.27723
7/20/2012,0.44646,1.59299,86.96104316,2.32496
7/19/2012,0.447941,1.641194,87.24581687,2.39312
7/18/2012,0.460125,1.617766,87.66020547,2.37585
7/17/2012,0.471778,1.645662,87.96049189,2.4361
7/16/2012,0.466746,1.603548,87.98796591,2.39684
7/13/2012,0.481703,1.622372,87.95480713,2.4585
7/12/2012,0.477816,1.597016,87.77914527,2.40343
7/11/2012,0.498181,1.622681,87.98207359,2.41162
7/10/2012,0.523472,1.630206,88.57874985,2.42303
7/9/2012,0.52071,1.650497,88.1153416,2.4492
7/6/2012,0.519611,1.691674,88.89631458,2.47665
7/5/2012,0.531209,1.743454,89.57958834,2.55638
7/3/2012,0.539547,1.768056,89.7871079,2.58328
7/2/2012,0.544042,1.725432,89.85979215,2.54532
6/29/2012,0.547829,1.782516,89.88920199,2.62372
6/28/2012,0.554452,1.713129,89.52856171,2.55096
6/27/2012,0.545948,1.751759,89.60312919,2.58867
6/26/2012,0.539364,1.761655,89.72954831,2.61639
6/25/2012,0.526314,1.744502,89.49299413,2.5785
6/22/2012,0.539398,1.801701,89.75138604,2.66819
6/21/2012,0.556688,1.770865,89.4928045,2.61405
6/20/2012,0.534322,1.790516,89.65484789,2.64221
6/19/2012,0.534042,1.774183,91.29885581,2.5989
6/18/2012,0.535697,1.737718,91.55236399,2.59515
6/15/2012,0.548371,1.735208,92.35705607,2.61355
6/14/2012,0.597115,1.762021,92.76522527,2.63094
6/13/2012,0.593688,1.760819,92.62556867,2.65256
6/12/2012,0.591469,1.827094,92.54016644,2.69596
6/11/2012,0.571323,1.790069,92.24863155,2.6399
6/8/2012,0.571876,1.828534,91.24315927,2.67911
6/7/2012,0.572194,1.833925,91.36135895,2.67758
6/6/2012,0.592955,1.819515,90.59692674,2.70699
6/5/2012,0.606279,1.753107,89.91889496,2.67216
6/4/2012,0.624175,1.735479,89.92846971,2.62226
6/1/2012,0.621235,1.676491,89.3579211,2.53159
5/31/2012,0.615921,1.74769,90.1111029,2.64639
5/30/2012,0.617563,1.782546,90.45248103,2.68486
5/29/2012,0.629496,1.879969,92.12914479,2.77149
5/25/2012,0.637923,1.889565,92.81845924,2.76345
5/24/2012,0.638468,1.896715,93.15188213,2.76054
5/23/2012,0.647798,1.863663,93.8042855,2.73508
5/22/2012,0.633875,1.919711,94.6119003,2.76969
5/21/2012,0.640091,1.855714,93.05243743,2.73357
5/18/2012,0.661198,1.82649,92.86366232,2.67797
5/17/2012,0.648822,1.827822,92.91594509,2.67184
5/16/2012,0.648054,1.896319,93.50619153,2.74013
5/15/2012,0.659683,1.93181,94.9000001,2.76971
5/14/2012,0.639727,1.944587,94.97679446,2.77397
