asOfDate,RawRate,Point,Rate
4/22/2013,3.4,0.8,3.35
4/19/2013,3.4,0.8,3.35
4/18/2013,3.4,0.8,3.35
4/17/2013,3.41,0.7,3.335
4/16/2013,3.41,0.7,3.335
4/15/2013,3.41,0.7,3.335
4/12/2013,3.41,0.7,3.335
4/11/2013,3.41,0.7,3.335
4/10/2013,3.43,0.8,3.38
4/9/2013,3.43,0.8,3.38
4/8/2013,3.43,0.8,3.38
4/5/2013,3.43,0.8,3.38
4/4/2013,3.43,0.8,3.38
4/3/2013,3.54,0.8,3.49
4/2/2013,3.54,0.8,3.49
4/1/2013,3.54,0.8,3.49
3/28/2013,3.54,0.8,3.49
3/27/2013,3.57,0.8,3.52
3/26/2013,3.57,0.8,3.52
3/25/2013,3.57,0.8,3.52
3/22/2013,3.57,0.8,3.52
3/21/2013,3.57,0.8,3.52
3/20/2013,3.54,0.8,3.49
3/19/2013,3.54,0.8,3.49
3/18/2013,3.54,0.8,3.49
3/15/2013,3.54,0.8,3.49
3/14/2013,3.54,0.8,3.49
3/13/2013,3.63,0.8,3.58
3/12/2013,3.63,0.8,3.58
3/11/2013,3.63,0.8,3.58
3/8/2013,3.63,0.8,3.58
3/7/2013,3.63,0.8,3.58
3/6/2013,3.52,0.7,3.445
3/5/2013,3.52,0.7,3.445
3/4/2013,3.52,0.7,3.445
3/1/2013,3.52,0.7,3.445
2/28/2013,3.52,0.7,3.445
2/27/2013,3.51,0.8,3.46
2/26/2013,3.51,0.8,3.46
2/25/2013,3.51,0.8,3.46
2/22/2013,3.51,0.8,3.46
2/21/2013,3.51,0.8,3.46
2/20/2013,3.56,0.8,3.51
2/19/2013,3.56,0.8,3.51
2/15/2013,3.56,0.8,3.51
2/14/2013,3.56,0.8,3.51
2/13/2013,3.53,0.8,3.48
2/12/2013,3.53,0.8,3.48
2/11/2013,3.53,0.8,3.48
2/8/2013,3.53,0.8,3.48
2/7/2013,3.53,0.8,3.48
2/6/2013,3.53,0.8,3.48
2/5/2013,3.53,0.8,3.48
2/4/2013,3.53,0.8,3.48
2/1/2013,3.53,0.8,3.48
1/31/2013,3.53,0.8,3.48
1/30/2013,3.53,0.7,3.455
1/29/2013,3.53,0.7,3.455
1/28/2013,3.53,0.7,3.455
1/25/2013,3.53,0.7,3.455
1/24/2013,3.53,0.7,3.455
1/23/2013,3.42,0.7,3.345
1/22/2013,3.42,0.7,3.345
1/18/2013,3.42,0.7,3.345
1/17/2013,3.42,0.7,3.345
1/16/2013,3.38,0.7,3.305
1/15/2013,3.38,0.7,3.305
