yyyymm01, Day Count, Normalized Month
20240901, 20, 0.9565
20241001, 22, 1.0521
20241101, 19, 0.9087
20241201, 21, 1.0043
20250101, 21, 1.0043
20250201, 19, 0.9087
20250301, 21, 1.0043
20250401, 22, 1.0521
20250501, 21, 1.0043
20250601, 21, 1.0043
20250701, 22, 1.0521
20250801, 21, 1.0043
20250901, 21, 1.0043
20251001, 22, 1.0521
20251101, 18, 0.8608
20251201, 22, 1.0521
20260101, 20, 0.9565
20260201, 19, 0.9087
20260301, 22, 1.0521
20260401, 22, 1.0521
20260501, 20, 0.9565
20260601, 22, 1.0521
20260701, 22, 1.0521
20260801, 21, 1.0043
20260901, 21, 1.0043
20261001, 21, 1.0043
20261101, 19, 0.9087
20261201, 22, 1.0521
20270101, 19, 0.9087
20270201, 19, 0.9087
20270301, 23, 1.1000
20270401, 22, 1.0521
20270501, 20, 0.9565
20270601, 22, 1.0521
20270701, 21, 1.0043
20270801, 22, 1.0521
20270901, 21, 1.0043
20271001, 20, 0.9565
20271101, 20, 0.9565
20271201, 21, 1.0043
20280101, 20, 0.9565
20280201, 20, 0.9565
20280301, 23, 1.1000
20280401, 20, 0.9565
20280501, 22, 1.0521
20280601, 22, 1.0521
20280701, 20, 0.9565
20280801, 23, 1.1000
20280901, 20, 0.9565
20281001, 21, 1.0043
20281101, 20, 0.9565
20281201, 20, 0.9565
20290101, 21, 1.0043
20290201, 19, 0.9087
20290301, 22, 1.0521
20290401, 21, 1.0043
20290501, 22, 1.0521
20290601, 21, 1.0043
20290701, 21, 1.0043
20290801, 23, 1.1000
20290901, 19, 0.9087
20291001, 22, 1.0521
20291101, 20, 0.9565
20291201, 20, 0.9565
20300101, 21, 1.0043
20300201, 19, 0.9087
20300301, 21, 1.0043
20300401, 22, 1.0521
20300501, 22, 1.0521
20300601, 20, 0.9565
20300701, 22, 1.0521
20300801, 22, 1.0521
20300901, 20, 0.9565
20301001, 22, 1.0521
20301101, 19, 0.9087
20301201, 21, 1.0043
20310101, 21, 1.0043
20310201, 19, 0.9087
20310301, 21, 1.0043
20310401, 22, 1.0521
20310501, 21, 1.0043
20310601, 21, 1.0043
20310701, 22, 1.0521
20310801, 21, 1.0043
20310901, 21, 1.0043
20311001, 22, 1.0521
20311101, 18, 0.8608
20311201, 22, 1.0521
20320101, 20, 0.9565
20320201, 19, 0.9087
20320301, 23, 1.1000
20320401, 22, 1.0521
20320501, 20, 0.9565
20320601, 22, 1.0521
20320701, 21, 1.0043
20320801, 22, 1.0521
20320901, 21, 1.0043
20321001, 20, 0.9565
20321101, 20, 0.9565
20321201, 21, 1.0043
20330101, 20, 0.9565
20330201, 19, 0.9087
20330301, 23, 1.1000
20330401, 21, 1.0043
20330501, 21, 1.0043
20330601, 22, 1.0521
20330701, 20, 0.9565
20330801, 23, 1.1000
20330901, 21, 1.0043
20331001, 20, 0.9565
20331101, 20, 0.9565
20331201, 21, 1.0043
20340101, 20, 0.9565
20340201, 19, 0.9087
20340301, 23, 1.1000
20340401, 20, 0.9565
20340501, 22, 1.0521
20340601, 22, 1.0521
20340701, 20, 0.9565
20340801, 23, 1.1000
20340901, 20, 0.9565
20341001, 21, 1.0043
20341101, 20, 0.9565
20341201, 20, 0.9565
20350101, 21, 1.0043
20350201, 19, 0.9087
20350301, 22, 1.0521
20350401, 21, 1.0043
