marketTicker,lockinBucket,cltvBucket,walaBucket,monthBucket,bal,incentive,cltv,FICO,waoltv,wala,cpr,smm,smmFactor1,constTurnOverSMM,smmFactor2,smm.model.wala,smm.flatten.wala,smmFactor3,smm.model.lockin,smmFactor4,smmFactor4,seasonalitySMMFunction,smmFactor1,constTurnOverSMM,smmFactor2,seasoningSMMFunction,smmFactor3,incentiveSMMFunction,percent diff,diff
FNCL,1-225,2-CLTV 70-80,H-age-40,Sep,1228807.61,-342,71.6,707,85,37,0.004296,-0.001317413,-0.001279042,0.004636779,-0.275847017,1.662450476,1.368957638,-0.201501499,-0.130550486,1.543475672,1.400839879,1.03,-0.001287164,0.00463227,-0.277868959,1.370246782,-0.202787529,-0.144761391,10%,0.142635793
FNCL,1-225,3-CLTV 80-90,F-age-30,Sep,793111.52,-342,81.7,731,78,25,0.003631,-0.001136202,-0.001103109,0.004636779,-0.237904081,1.368957638,1.368957638,-0.173784837,-0.130550486,1.331169592,1.20669396,1.03,-0.001108773,0.00463227,-0.239358402,1.370246782,-0.174682696,-0.144761391,10%,0.124475632
FNCL,1-225,1-CLTV <= 70,A-age-5,Sep,1382017.82,-342,65.8,679.24,63.6,3.3,0.086595,-0.000152769,-0.00014832,0.004636779,-0.031987662,0.26935068,0.26935068,-0.118758423,-0.130550486,0.909674304,0.810028235,1.03,-0.000148282,0.00463227,-0.03201057,0.272986078,-0.117260814,-0.144761391,12%,0.099646068
FNCL,1-225,4-CLTV 90-100,D-age-20,Sep,2421911.11,-342,92.7,748.22,83.5,17.9,82.343706,0.133532723,0.12964342,0.004636779,27.95980001,1.14875825,1.14875825,24.33915058,-0.130550486,-186.4347755,-167.9245089,1.03,0.129637603,0.00463227,27.98576212,1.151251755,24.30898542,-0.144761391,11%,-18.51026658
FNCL,1-225,4-CLTV 90-100,C-age-15,Sep,3025253.94,-341.7,97.5,686.87,87.1,13,-0.002848,-0.001187044,-0.00115247,0.004636779,-0.248549699,0.947853277,0.947853277,-0.262223812,-0.129909286,2.018514765,1.829579054,1.03,-0.00116307,0.00463227,-0.251080002,0.95241655,-0.263624149,-0.144090056,10%,0.188935711
FNCL,1-225,1-CLTV <= 70,F-age-30,May,304932.62,-341,64.8,642,97,27,3.90E-05,-0.001071238,-0.000915588,0.004636779,-0.197462003,1.417873111,1.368957638,-0.144242595,-0.128413152,1.123269644,1.01708497,1.17,-0.000920104,0.00463227,-0.198629084,1.370246782,-0.144958621,-0.142523609,10%,0.106184673
FNCL,1-225,1-CLTV <= 70,E-age-25,May,1784990.38,-341,67,694.83,88.4,21.8,0.012779,-0.000891923,-0.000762327,0.004636779,-0.164408798,1.286168536,1.286168536,-0.127828347,-0.128413152,0.99544591,0.899342579,1.17,-0.000764709,0.00463227,-0.165082945,1.287924012,-0.12817755,-0.142523609,11%,0.096103332
FNCL,1-225,2-CLTV 70-80,C-age-15,May,1691326.91,-341,73.3,693.41,82.9,13.4,0.084724,-0.000504345,-0.000431064,0.004636779,-0.092966258,0.964208349,0.964208349,-0.096417188,-0.128413152,0.750835772,0.677117277,1.17,-0.00043298,0.00463227,-0.093470459,0.968553613,-0.096505198,-0.142523609,11%,0.073718494
FNCL,1-225,2-CLTV 70-80,B-age-10,May,816892.4,-341,75.1,731,78,9,0.00329,-0.000346635,-0.000296269,0.004636779,-0.063895527,0.735065514,0.735065514,-0.086924941,-0.128413152,0.676916189,0.607142519,1.17,-0.000296948,0.00463227,-0.064104183,0.740813534,-0.086532143,-0.142523609,11%,0.06977367
FNCL,1-225,4-CLTV 90-100,E-age-25,Aug,1627434.23,-340.7,92.9,741.81,85.7,21.3,0.00345,-0.001265119,-0.001020258,0.004636779,-0.220035837,1.271459375,1.271459375,-0.173057701,-0.127771952,1.354426375,1.22714717,1.24,-0.001026729,0.00463227,-0.221646954,1.273294351,-0.174073618,-0.141852275,10%,0.127279205
FNCL,1-225,5-CLTV 100+,J-age-50,Sep,220420.32,-340.5,112.6,636,97,48,0.000163,-0.014231078,-0.013816581,0.004636779,-2.97977968,1.931485578,1.368957638,-2.176677786,-0.127344485,17.09283122,15.58764945,1.03,-0.013990627,0.00463227,-3.020252995,1.370246782,-2.204167187,-0.141404719,10%,1.505181765
FNCL,1-225,4-CLTV 90-100,K-age-60,Sep,287902.82,-340.5,95.4,642,97,55,4.10E-05,-0.009447304,-0.00917214,0.004636779,-1.978127303,2.102689733,1.368957638,-1.444987959,-0.127344485,11.34707923,10.34871901,1.03,-0.009288448,0.00463227,-2.005161182,1.370246782,-1.463357702,-0.141404719,10%,0.998360213
FNCL,1-225,5-CLTV 100+,K-age-60,Sep,227077.41,-340.5,105.3,689,97,51,0.081562,-0.009109326,-0.008844005,0.004636779,-1.907359603,2.004858787,1.368957638,-1.393293372,-0.127344485,10.94113635,9.97344877,1.03,-0.008951626,0.00463227,-1.932449059,1.370246782,-1.410292719,-0.141404719,10%,0.96768758
FNCL,1-225,5-CLTV 100+,F-age-30,Sep,3745321.06,-340.5,133.9,685.61,90.6,27.1,0.00231,-0.006620774,-0.006427936,0.004636779,-1.386293385,1.420318885,1.368957638,-1.012663465,-0.127344485,7.95215801,7.251157255,1.03,-0.006508245,0.00463227,-1.404979595,1.370246782,-1.025347852,-0.141404719,10%,0.701000756
