asOfDate,RealCoupon,ModelCoupon,RealMortgageRate,RealServiceSpread,Weekday,Weight,Counter,accumulated Weighted CC,accumulatedWeight,WA CC,Servicing Spread,,,
2/9/2006,5.81487,5.967849535,6.155,0.34013,4,0,1,0,0,0,0.332809,,,
2/10/2006,5.8435,5.995518214,6.155,0.3115,5,0,2,0,0,0,0,,,
2/13/2006,5.84977,5.989608412,6.155,0.30523,1,0.05,3,0.2924885,0.05,0,0,,,
2/14/2006,5.87946,6.007448724,6.155,0.27554,2,0.7,4,4.4081105,0.75,0,0,,,
2/15/2006,5.86838,5.991644389,6.155,0.28662,3,0.25,5,5.8752055,1,5.8752055,0,,,
2/16/2006,5.84815,5.966518001,6.16,0.31185,4,0,1,0,0,0,0.2797945,,,
2/17/2006,5.78083,5.919019916,6.16,0.37917,5,0,2,0,0,0,0,,,
2/21/2006,5.80752,5.942859374,6.16,0.35248,2,0.7,3,4.065264,0.7,0,0,,,
2/22/2006,5.77416,5.895070437,6.16,0.38584,3,0.25,4,5.508804,0.95,5.798741053,0,,,
2/23/2006,5.79537,5.928662271,6.14,0.34463,4,0,1,0,0,0,0.361258947,,,
2/24/2006,5.76417,5.899250719,6.14,0.37583,5,0,2,0,0,0,0,,,
2/27/2006,5.77249,5.911318838,6.14,0.36751,1,0.05,3,0.2886245,0.05,0,0,,,
2/28/2006,5.73453,5.877025591,6.14,0.40547,2,0.7,4,4.3027955,0.75,0,0,,,
3/1/2006,5.80004,5.92552256,6.14,0.33996,3,0.25,5,5.7528055,1,5.7528055,0,,,
3/2/2006,5.85392,6.00382822,6.27,0.41608,4,0,1,0,0,0,0.3871945,,,
3/3/2006,5.88613,6.032473085,6.27,0.38387,5,0,2,0,0,0,0,,,
3/6/2006,5.94346,6.099589366,6.27,0.32654,1,0.05,3,0.297173,0.05,0,0,,,
3/7/2006,5.95092,6.105355659,6.27,0.31908,2,0.7,4,4.462817,0.75,0,0,,,
3/8/2006,5.94583,6.10227295,6.27,0.32417,3,0.25,5,5.9492745,1,5.9492745,0,,,
3/9/2006,5.9135,6.081639284,6.265,0.3515,4,0,1,0,0,0,0.3207255,,,
3/10/2006,5.93554,6.095781934,6.265,0.32946,5,0,2,0,0,0,0,,,
3/13/2006,5.95766,6.1249064,6.265,0.30734,1,0.05,3,0.297883,0.05,0,0,,,
3/14/2006,5.87236,6.029300867,6.265,0.39264,2,0.7,4,4.408535,0.75,0,0,,,
3/15/2006,5.90812,6.063101825,6.265,0.35688,3,0.25,5,5.885565,1,5.885565,0,,,
3/16/2006,5.83067,5.970611277,6.22,0.38933,4,0,1,0,0,0,0.379435,,,
3/17/2006,5.85862,5.995729099,6.22,0.36138,5,0,2,0,0,0,0,,,
3/20/2006,5.84727,5.971763266,6.22,0.37273,1,0.05,3,0.2923635,0.05,0,0,,,
3/21/2006,5.908,6.034082779,6.22,0.312,2,0.7,4,4.4279635,0.75,0,0,,,
3/22/2006,5.89887,6.028613502,6.22,0.32113,3,0.25,5,5.902681,1,5.902681,0,,,
3/23/2006,5.92181,6.062147351,6.225,0.30319,4,0,1,0,0,0,0.317319,,,
3/24/2006,5.86241,6.000952366,6.225,0.36259,5,0,2,0,0,0,0,,,
3/27/2006,5.87878,6.028432227,6.225,0.34622,1,0.05,3,0.293939,0.05,0,0,,,
3/28/2006,5.94486,6.107493632,6.225,0.28014,2,0.7,4,4.455341,0.75,0,0,,,
3/29/2006,5.9759,6.149601567,6.225,0.2491,3,0.25,5,5.949316,1,5.949316,0,,,
3/30/2006,6.00824,6.203462939,6.33,0.32176,4,0,1,0,0,0,0.275684,,,
3/31/2006,6.00641,6.19324952,6.33,0.32359,5,0,2,0,0,0,0,,,
4/3/2006,6.03045,6.219861138,6.33,0.29955,1,0.05,3,0.3015225,0.05,0,0,,,
4/4/2006,6.02555,6.200244339,6.33,0.30445,2,0.7,4,4.5194075,0.75,0,0,,,
4/5/2006,5.99685,6.160600964,6.33,0.33315,3,0.25,5,6.01862,1,6.01862,0,,,
4/6/2006,6.01797,6.211151821,6.39,0.37203,4,0,1,0,0,0,0.31138,,,
4/7/2006,6.08549,6.269688558,6.39,0.30451,5,0,2,0,0,0,0,,,
4/10/2006,6.09392,6.262809608,6.39,0.29608,1,0.05,3,0.304696,0.05,0,0,,,
4/11/2006,6.06233,6.226310636,6.39,0.32767,2,0.7,4,4.548327,0.75,0,0,,,
4/12/2006,6.09232,6.273269196,6.39,0.29768,3,0.25,5,6.071407,1,6.071407,0,,,
4/13/2006,6.14222,6.334032109,6.43,0.28778,4,0,1,0,0,0,0.318593,,,
4/17/2006,6.11546,6.285540394,6.43,0.31454,1,0.05,2,0.305773,0.05,0,0,,,
4/18/2006,6.06145,6.232228892,6.43,0.36855,2,0.7,3,4.548788,0.75,0,0,,,
4/19/2006,6.09526,6.259551096,6.43,0.33474,3,0.25,4,6.072603,1,6.072603,0,,,
4/20/2006,6.11105,6.266985197,6.455,0.34395,4,0,1,0,0,0,0.357397,,,
4/21/2006,6.08935,6.2361568,6.455,0.36565,5,0,2,0,0,0,0,,,
4/24/2006,6.06864,6.211033412,6.455,0.38636,1,0.05,3,0.303432,0.05,0,0,,,
4/25/2006,6.14044,6.279527364,6.455,0.31456,2,0.7,4,4.60174,0.75,0,0,,,
4/26/2006,6.17592,6.321674965,6.455,0.27908,3,0.25,5,6.14572,1,6.14572,0,,,
4/27/2006,6.13335,6.270944817,6.49,0.35665,4,0,1,0,0,0,0.30928,,,
4/28/2006,6.10033,6.243655392,6.49,0.38967,5,0,2,0,0,0,0,,,
5/1/2006,6.16765,6.302326206,6.49,0.32235,1,0.05,3,0.3083825,0.05,0,0,,,
5/2/2006,6.17078,6.298323873,6.49,0.31922,2,0.7,4,4.6279285,0.75,0,0,,,
5/3/2006,6.21175,6.349372207,6.49,0.27825,3,0.25,5,6.180866,1,6.180866,0,,,
5/4/2006,6.21857,6.359780559,6.455,0.23643,4,0,1,0,0,0,0.309134,,,
5/5/2006,6.1718,6.324261088,6.455,0.2832,5,0,2,0,0,0,0,,,
5/8/2006,6.18394,6.336718508,6.455,0.27106,1,0.05,3,0.309197,0.05,0,0,,,
5/9/2006,6.18872,6.338968831,6.455,0.26628,2,0.7,4,4.641301,0.75,0,0,,,
5/10/2006,6.19707,6.345153821,6.455,0.25793,3,0.25,5,6.1905685,1,6.1905685,0,,,
5/11/2006,6.22021,6.370779468,6.475,0.25479,4,0,1,0,0,0,0.2644315,,,
5/12/2006,6.26368,6.417877656,6.475,0.21132,5,0,2,0,0,0,0,,,
5/15/2006,6.24133,6.388032078,6.475,0.23367,1,0.05,3,0.3120665,0.05,0,0,,,
5/16/2006,6.19369,6.334904498,6.475,0.28131,2,0.7,4,4.6476495,0.75,0,0,,,
5/17/2006,6.24194,6.392524335,6.475,0.23306,3,0.25,5,6.2081345,1,6.2081345,0,,,
5/18/2006,6.18733,6.334861854,6.47,0.28267,4,0,1,0,0,0,0.2668655,,,
5/19/2006,6.19903,6.349890131,6.47,0.27097,5,0,2,0,0,0,0,,,
5/22/2006,6.20311,6.346912164,6.47,0.26689,1,0.05,3,0.3101555,0.05,0,0,,,
5/23/2006,6.22234,6.364332103,6.47,0.24766,2,0.7,4,4.6657935,0.75,0,0,,,
5/24/2006,6.21225,6.341643207,6.47,0.25775,3,0.25,5,6.218856,1,6.218856,0,,,
5/25/2006,6.23265,6.373268085,6.52,0.28735,4,0,1,0,0,0,0.251144,,,
5/26/2006,6.21195,6.355455655,6.52,0.30805,5,0,2,0,0,0,0,,,
5/30/2006,6.25047,6.38226612,6.52,0.26953,2,0.7,3,4.375329,0.7,0,0,,,
5/31/2006,6.28572,6.417994868,6.52,0.23428,3,0.25,4,5.946759,0.95,6.259746316,0,,,
6/1/2006,6.28186,6.399364056,6.495,0.21314,4,0,1,0,0,0,0.260253684,,,
6/2/2006,6.16329,6.282680314,6.495,0.33171,5,0,2,0,0,0,0,,,
6/5/2006,6.19509,6.313431192,6.495,0.29991,1,0.05,3,0.3097545,0.05,0,0,,,
6/6/2006,6.18614,6.302327883,6.495,0.30886,2,0.7,4,4.6400525,0.75,0,0,,,
6/7/2006,6.21197,6.316104914,6.495,0.28303,3,0.25,5,6.193045,1,6.193045,0,,,
6/8/2006,6.18785,6.293091982,6.505,0.31715,4,0,1,0,0,0,0.301955,,,
6/9/2006,6.17939,6.280457961,6.505,0.32561,5,0,2,0,0,0,0,,,
6/12/2006,6.20035,6.276150754,6.505,0.30465,1,0.05,3,0.3100175,0.05,0,0,,,
6/13/2006,6.18622,6.254986175,6.505,0.31878,2,0.7,4,4.6403715,0.75,0,0,,,
6/14/2006,6.27295,6.350779346,6.505,0.23205,3,0.25,5,6.208609,1,6.208609,0,,,
6/15/2006,6.31432,6.403706317,6.585,0.27068,4,0,1,0,0,0,0.296391,,,
6/16/2006,6.33511,6.437807646,6.585,0.24989,5,0,2,0,0,0,0,,,
6/19/2006,6.34836,6.456828941,6.585,0.23664,1,0.05,3,0.317418,0.05,0,0,,,
6/20/2006,6.36772,6.469264854,6.585,0.21728,2,0.7,4,4.774822,0.75,0,0,,,
6/21/2006,6.37557,6.479364378,6.585,0.20943,3,0.25,5,6.3687145,1,6.3687145,0,,,
6/22/2006,6.41959,6.519782699,6.655,0.23541,4,0,1,0,0,0,0.2162855,,,
6/23/2006,6.45996,6.557163141,6.655,0.19504,5,0,2,0,0,0,0,,,
6/26/2006,6.48238,6.562179209,6.655,0.17262,1,0.05,3,0.324119,0.05,0,0,,,
6/27/2006,6.44877,6.534002484,6.655,0.20623,2,0.7,4,4.838258,0.75,0,0,,,
6/28/2006,6.46466,6.569583538,6.655,0.19034,3,0.25,5,6.454423,1,6.454423,0,,,
6/29/2006,6.41651,6.515929257,6.665,0.24849,4,0,1,0,0,0,0.200577,,,
6/30/2006,6.37105,6.462144463,6.665,0.29395,5,0,2,0,0,0,0,,,
7/3/2006,6.3934,6.480683861,6.665,0.2716,1,0.05,3,0.31967,0.05,0,0,,,
7/5/2006,6.46164,6.555021971,6.665,0.20336,3,0.25,4,1.93508,0.3,6.450266667,0,,,
7/6/2006,6.42768,6.516203239,6.64,0.21232,4,0,1,0,0,0,0.214733333,,,
7/7/2006,6.37728,6.46279664,6.64,0.26272,5,0,2,0,0,0,0,,,
7/10/2006,6.37626,6.460005599,6.64,0.26374,1,0.05,3,0.318813,0.05,0,0,,,
7/11/2006,6.35726,6.43286658,6.64,0.28274,2,0.7,4,4.768895,0.75,0,0,,,
7/12/2006,6.35306,6.428715366,6.64,0.28694,3,0.25,5,6.35716,1,6.35716,0,,,
7/13/2006,6.33821,6.412190652,6.675,0.33679,4,0,1,0,0,0,0.28284,,,
7/14/2006,6.33093,6.407798194,6.675,0.34407,5,0,2,0,0,0,0,,,
7/17/2006,6.33844,6.414554982,6.675,0.33656,1,0.05,3,0.316922,0.05,0,0,,,
7/18/2006,6.38524,6.477895192,6.675,0.28976,2,0.7,4,4.78659,0.75,0,0,,,
7/19/2006,6.30891,6.391128216,6.675,0.36609,3,0.25,5,6.3638175,1,6.3638175,0,,,
7/20/2006,6.26198,6.350481368,6.545,0.28302,4,0,1,0,0,0,0.3111825,,,
7/21/2006,6.26926,6.362162765,6.545,0.27574,5,0,2,0,0,0,0,,,
7/24/2006,6.26827,6.351969605,6.545,0.27673,1,0.05,3,0.3134135,0.05,0,0,,,
7/25/2006,6.28745,6.367974456,6.545,0.25755,2,0.7,4,4.7146285,0.75,0,0,,,
7/26/2006,6.24659,6.33434834,6.545,0.29841,3,0.25,5,6.276276,1,6.276276,0,,,
7/27/2006,6.23661,6.339596676,6.455,0.21839,4,0,1,0,0,0,0.268724,,,
7/28/2006,6.16396,6.287183859,6.455,0.29104,5,0,2,0,0,0,0,,,
7/31/2006,6.157,6.272410494,6.455,0.298,1,0.05,3,0.30785,0.05,0,0,,,
8/1/2006,6.14776,6.275652062,6.455,0.30724,2,0.7,4,4.611282,0.75,0,0,,,
8/2/2006,6.1257,6.254616769,6.455,0.3293,3,0.25,5,6.142707,1,6.142707,0,,,
8/3/2006,6.14072,6.254460784,6.4,0.25928,4,0,1,0,0,0,0.312293,,,
8/4/2006,6.052,6.186454781,6.4,0.348,5,0,2,0,0,0,0,,,
8/7/2006,6.09028,6.203297436,6.4,0.30972,1,0.05,3,0.304514,0.05,0,0,,,
8/8/2006,6.06446,6.178108861,6.4,0.33554,2,0.7,4,4.549636,0.75,0,0,,,
8/9/2006,6.06042,6.172272065,6.4,0.33958,3,0.25,5,6.064741,1,6.064741,0,,,
8/10/2006,6.06588,6.181187334,6.345,0.27912,4,0,1,0,0,0,0.335259,,,
8/11/2006,6.1083,6.222800902,6.345,0.2367,5,0,2,0,0,0,0,,,
8/14/2006,6.15487,6.255169774,6.345,0.19013,1,0.05,3,0.3077435,0.05,0,0,,,
8/15/2006,6.05662,6.178282348,6.345,0.28838,2,0.7,4,4.5473775,0.75,0,0,,,
8/16/2006,5.96852,6.116473558,6.345,0.37648,3,0.25,5,6.0395075,1,6.0395075,0,,,
8/17/2006,5.98775,6.104079846,6.33,0.34225,4,0,1,0,0,0,0.3054925,,,
8/18/2006,5.95802,6.073758851,6.33,0.37198,5,0,2,0,0,0,0,,,
8/21/2006,5.97864,6.067852907,6.33,0.35136,1,0.05,3,0.298932,0.05,0,0,,,
8/22/2006,5.96177,6.070002066,6.33,0.36823,2,0.7,4,4.472171,0.75,0,0,,,
8/23/2006,5.96807,6.086595128,6.33,0.36193,3,0.25,5,5.9641885,1,5.9641885,0,,,
8/24/2006,5.96254,6.091203422,6.29,0.32746,4,0,1,0,0,0,0.3658115,,,
8/25/2006,5.98067,6.079689367,6.29,0.30933,5,0,2,0,0,0,0,,,
8/28/2006,5.96424,6.089420585,6.29,0.32576,1,0.05,3,0.298212,0.05,0,0,,,
8/29/2006,5.95256,6.083423743,6.29,0.33744,2,0.7,4,4.465004,0.75,0,0,,,
8/30/2006,5.97019,6.065643266,6.29,0.31981,3,0.25,5,5.9575515,1,5.9575515,0,,,
8/31/2006,5.94217,6.029452177,6.32,0.37783,4,0,1,0,0,0,0.3324485,,,
9/1/2006,5.92844,6.010039977,6.32,0.39156,5,0,2,0,0,0,0,,,
9/5/2006,5.96084,6.041655775,6.32,0.35916,2,0.7,3,4.172588,0.7,0,0,,,
9/6/2006,5.96864,6.052518133,6.32,0.35136,3,0.25,4,5.664748,0.95,5.962892632,0,,,
9/7/2006,5.95526,6.051937345,6.305,0.34974,4,0,1,0,0,0,0.357107368,,,
9/8/2006,5.93338,6.035062691,6.305,0.37162,5,0,2,0,0,0,0,,,
9/11/2006,5.95898,6.067738074,6.305,0.34602,1,0.05,3,0.297949,0.05,0,0,,,
9/12/2006,5.94017,6.047439608,6.305,0.36483,2,0.7,4,4.456068,0.75,0,0,,,
9/13/2006,5.94056,6.048246822,6.305,0.36444,3,0.25,5,5.941208,1,5.941208,0,,,
9/14/2006,5.97232,6.07393635,6.275,0.30268,4,0,1,0,0,0,0.363792,,,
9/15/2006,5.95972,6.091619024,6.275,0.31528,5,0,2,0,0,0,0,,,
9/18/2006,5.97548,6.104905791,6.275,0.29952,1,0.05,3,0.298774,0.05,0,0,,,
9/19/2006,5.93924,6.039680504,6.275,0.33576,2,0.7,4,4.456242,0.75,0,0,,,
9/20/2006,5.93042,6.027229828,6.275,0.34458,3,0.25,5,5.938847,1,5.938847,0,,,
9/21/2006,5.85597,5.946411581,6.16,0.30403,4,0,1,0,0,0,0.336153,,,
9/22/2006,5.82063,5.929739609,6.16,0.33937,5,0,2,0,0,0,0,,,
9/25/2006,5.78502,5.903167381,6.16,0.37498,1,0.05,3,0.289251,0.05,0,0,,,
9/26/2006,5.81463,5.917549549,6.16,0.34537,2,0.7,4,4.359492,0.75,0,0,,,
9/27/2006,5.82374,5.927263398,6.16,0.33626,3,0.25,5,5.815427,1,5.815427,0,,,
9/28/2006,5.84481,5.943790103,6.125,0.28019,4,0,1,0,0,0,0.344573,,,
9/29/2006,5.86441,5.960736915,6.125,0.26059,5,0,2,0,0,0,0,,,
10/2/2006,5.84966,5.949304472,6.125,0.27534,1,0.05,3,0.292483,0.05,0,0,,,
10/3/2006,5.83864,5.94161204,6.125,0.28636,2,0.7,4,4.379531,0.75,0,0,,,
10/4/2006,5.77873,5.897962396,6.125,0.34627,3,0.25,5,5.8242135,1,5.8242135,0,,,
10/5/2006,5.81752,5.936731103,6.245,0.42748,4,0,1,0,0,0,0.3007865,,,
10/6/2006,5.90327,6.008120125,6.245,0.34173,5,0,2,0,0,0,0,,,
10/10/2006,5.95749,6.064097433,6.245,0.28751,2,0.7,3,4.170243,0.7,0,0,,,
10/11/2006,5.96583,6.091929271,6.245,0.27917,3,0.25,4,5.6617005,0.95,5.959684737,0,,,
10/12/2006,5.97705,6.08093569,6.235,0.25795,4,0,1,0,0,0,0.285315263,,,
10/13/2006,5.98671,6.094503145,6.235,0.24829,5,0,2,0,0,0,0,,,
10/16/2006,5.95948,6.072340285,6.235,0.27552,1,0.05,3,0.297974,0.05,0,0,,,
10/17/2006,5.94472,6.060934661,6.235,0.29028,2,0.7,4,4.459278,0.75,0,0,,,
10/18/2006,5.93335,6.040929286,6.235,0.30165,3,0.25,5,5.9426155,1,5.9426155,0,,,
10/19/2006,5.96276,6.062753842,6.25,0.28724,4,0,1,0,0,0,0.2923845,,,
10/20/2006,5.95696,6.057670508,6.25,0.29304,5,0,2,0,0,0,0,,,
10/23/2006,5.96406,6.094760462,6.25,0.28594,1,0.05,3,0.298203,0.05,0,0,,,
10/24/2006,5.9672,6.08839248,6.25,0.2828,2,0.7,4,4.475243,0.75,0,0,,,
10/25/2006,5.95115,6.037870102,6.25,0.29885,3,0.25,5,5.9630305,1,5.9630305,0,,,
10/26/2006,5.89961,5.983589301,6.16,0.26039,4,0,1,0,0,0,0.2869695,,,
10/27/2006,5.86557,5.946459276,6.16,0.29443,5,0,2,0,0,0,0,,,
10/30/2006,5.8671,5.943110063,6.16,0.2929,1,0.05,3,0.293355,0.05,0,0,,,
10/31/2006,5.80171,5.886834152,6.16,0.35829,2,0.7,4,4.354552,0.75,0,0,,,
11/1/2006,5.75928,5.856597247,6.16,0.40072,3,0.25,5,5.794372,1,5.794372,0,,,
11/2/2006,5.78378,5.877844684,6.23,0.44622,4,0,1,0,0,0,0.365628,,,
11/3/2006,5.88299,5.996545074,6.23,0.34701,5,0,2,0,0,0,0,,,
11/6/2006,5.87026,5.978972504,6.23,0.35974,1,0.05,3,0.293513,0.05,0,0,,,
11/7/2006,5.82192,5.933136768,6.23,0.40808,2,0.7,4,4.368857,0.75,0,0,,,
11/8/2006,5.79337,5.902648597,6.23,0.43663,3,0.25,5,5.8171995,1,5.8171995,0,,,
11/9/2006,5.78174,5.886865628,6.115,0.33326,4,0,1,0,0,0,0.4128005,,,
11/10/2006,5.74642,5.8596986,6.115,0.36858,5,0,2,0,0,0,0,,,
11/13/2006,5.77515,5.870997372,6.115,0.33985,1,0.05,3,0.2887575,0.05,0,0,,,
11/14/2006,5.74146,5.840682312,6.115,0.37354,2,0.7,4,4.3077795,0.75,0,0,,,
11/15/2006,5.77565,5.87582065,6.115,0.33935,3,0.25,5,5.751692,1,5.751692,0,,,
11/16/2006,5.79681,5.896057149,6.055,0.25819,4,0,1,0,0,0,0.363308,,,
11/17/2006,5.72502,5.833942551,6.055,0.32998,5,0,2,0,0,0,0,,,
11/20/2006,5.71107,5.823622516,6.055,0.34393,1,0.05,3,0.2855535,0.05,0,0,,,
11/21/2006,5.71028,5.810010205,6.055,0.34472,2,0.7,4,4.2827495,0.75,5.710332667,0,,,
11/22/2006,5.70866,5.801185448,5.99,0.28134,3,0.25,1,1.427165,0.25,0,0.344667333,,,
11/24/2006,5.70001,5.78425573,5.99,0.28999,5,0,2,1.427165,0.25,0,0,,,
11/27/2006,5.68837,5.773826264,5.99,0.30163,1,0.05,3,1.7115835,0.3,0,0,,,
11/28/2006,5.65634,5.747492396,5.99,0.33366,2,0.7,4,5.6710215,1,0,0,,,
11/29/2006,5.65536,5.756317587,5.99,0.33464,3,0.25,5,7.0848615,1.25,5.6678892,0,,,
11/30/2006,5.57153,5.702826656,5.985,0.41347,4,0,1,0,0,0,0.3221108,,,
12/1/2006,5.51164,5.653318987,5.985,0.47336,5,0,2,0,0,0,0,,,
12/4/2006,5.50335,5.657409206,5.985,0.48165,1,0.05,3,0.2751675,0.05,0,0,,,
12/5/2006,5.50829,5.653452176,5.985,0.47671,2,0.7,4,4.1309705,0.75,0,0,,,
12/6/2006,5.56671,5.68881849,5.985,0.41829,3,0.25,5,5.522648,1,5.522648,0,,,
12/7/2006,5.59388,5.727588543,5.97,0.37612,4,0,1,0,0,0,0.462352,,,
12/8/2006,5.66464,5.785363709,5.97,0.30536,5,0,2,0,0,0,0,,,
12/11/2006,5.63028,5.756379001,5.97,0.33972,1,0.05,3,0.281514,0.05,0,0,,,
12/12/2006,5.57128,5.713082165,5.97,0.39872,2,0.7,4,4.18141,0.75,0,0,,,
12/13/2006,5.65971,5.776700963,5.97,0.31029,3,0.25,5,5.5963375,1,5.5963375,0,,,
12/14/2006,5.68114,5.789510354,5.98,0.29886,4,0,1,0,0,0,0.3736625,,,
12/15/2006,5.68714,5.789422516,5.98,0.29286,5,0,2,0,0,0,0,,,
12/18/2006,5.69459,5.788719507,5.98,0.28541,1,0.05,3,0.2847295,0.05,0,0,,,
12/19/2006,5.70048,5.796650043,5.98,0.27952,2,0.7,4,4.2750655,0.75,0,0,,,
12/20/2006,5.69257,5.790695277,5.98,0.28743,3,0.25,5,5.698208,1,5.698208,0,,,
12/21/2006,5.63329,5.744733003,6.03,0.39671,4,0,1,0,0,0,0.281792,,,
12/22/2006,5.70687,5.815531749,6.03,0.32313,5,0,2,0,0,0,0,,,
12/26/2006,5.6947,5.796600047,6.03,0.3353,2,0.7,3,3.98629,0.7,0,0,,,
12/27/2006,5.74329,5.839792752,6.03,0.28671,3,0.25,4,5.4221125,0.95,0,0,,,
12/28/2006,5.77848,5.86778754,6.03,0.25152,4,0,5,5.4221125,0.95,0,0,,,
12/29/2006,5.78466,5.877443664,6.03,0.24534,5,0,6,0,0,0,0,,,
1/2/2007,5.75132,5.85323205,6.03,0.27868,2,0.7,7,4.025924,0.7,0,0,,,
1/3/2007,5.70619,5.811567079,6.03,0.32381,3,0.25,8,1.4265475,0.25,5.70619,0,,,
1/4/2007,5.64398,5.759409233,6.06,0.41602,4,0,1,0,0,0,0.32381,,,
1/5/2007,5.6641,5.764094598,6.06,0.3959,5,0,2,0,0,0,0,,,
1/8/2007,5.68939,5.776257242,6.06,0.37061,1,0.05,3,0.2844695,0.05,0,0,,,
1/9/2007,5.69234,5.771100828,6.06,0.36766,2,0.7,4,4.2691075,0.75,0,0,,,
1/10/2007,5.73098,5.803042259,6.06,0.32902,3,0.25,5,5.7018525,1,5.7018525,0,,,
1/11/2007,5.78313,5.857225734,6.08,0.29687,4,0,1,0,0,0,0.3581475,,,
1/12/2007,5.79949,5.8731153,6.08,0.28051,5,0,2,0,0,0,0,,,
1/16/2007,5.79288,5.851313498,6.08,0.28712,2,0.7,3,4.055016,0.7,0,0,,,
1/17/2007,5.82895,5.881561446,6.08,0.25105,3,0.25,4,5.5122535,0.95,5.802372105,0,,,
1/18/2007,5.80081,5.847793207,6.1,0.29919,4,0,1,0,0,0,0.277627895,,,
1/19/2007,5.82398,5.870388206,6.1,0.27602,5,0,2,0,0,0,0,,,
1/22/2007,5.81193,5.858068472,6.1,0.28807,1,0.05,3,0.2905965,0.05,0,0,,,
1/23/2007,5.85716,5.887851234,6.1,0.24284,2,0.7,4,4.3906085,0.75,0,0,,,
1/24/2007,5.86891,5.893586888,6.1,0.23109,3,0.25,5,5.857836,1,5.857836,0,,,
1/25/2007,5.93337,5.967775199,6.19,0.25663,4,0,1,0,0,0,0.242164,,,
1/26/2007,5.94379,5.981483894,6.19,0.24621,5,0,2,0,0,0,0,,,
1/29/2007,5.96445,6.001093204,6.19,0.22555,1,0.05,3,0.2982225,0.05,0,0,,,
1/30/2007,5.95304,5.979959659,6.19,0.23696,2,0.7,4,4.4653505,0.75,0,0,,,
1/31/2007,5.89771,5.920967982,6.19,0.29229,3,0.25,5,5.939778,1,5.939778,0,,,
2/1/2007,5.89772,5.921699934,6.105,0.20728,4,0,1,0,0,0,0.250222,,,
2/2/2007,5.86395,5.883797338,6.105,0.24105,5,0,2,0,0,0,0,,,
2/5/2007,5.8258,5.852968689,6.105,0.2792,1,0.05,3,0.29129,0.05,0,0,,,
2/6/2007,5.78845,5.818653704,6.105,0.31655,2,0.7,4,4.343205,0.75,0,0,,,
2/7/2007,5.7765,5.811210411,6.105,0.3285,3,0.25,5,5.78733,1,5.78733,0,,,
2/8/2007,5.77907,5.801458112,6.15,0.37093,4,0,1,0,0,0,0.31767,,,
2/9/2007,5.83455,5.862578204,6.15,0.31545,5,0,2,0,0,0,0,,,
2/12/2007,5.8661,5.877598786,6.15,0.2839,1,0.05,3,0.293305,0.05,0,0,,,
