"","x","y"
"395",-26,0.99732608
"396",-25,0.9996875
"397",-24,1.00204992
"398",-23,1.00440986
"399",-22,1.00676384
"400",-21,1.00910838
"401",-20,1.01144
"402",-19,1.01375522
"403",-18,1.01605056
"404",-17,1.01832254
"405",-16,1.02056768
"406",-15,1.0227825
"407",-14,1.02496352
"408",-13,1.02710726
"409",-12,1.02921024
"410",-11,1.03126898
"411",-10,1.03328
"412",-9,1.03523982
"413",-8,1.03714496
"414",-7,1.03899194
"415",-6,1.04077728
"416",-5,1.0424975
"417",-4,1.04414912
"418",-3,1.04572866
"419",-2,1.04723264
"420",-1,1.04865758
"421",0,1.05
"422",1,1.05128404
"423",2,1.05253632
"424",3,1.05375708
"425",4,1.05494656
"426",5,1.056105
"427",6,1.05723264
"428",7,1.05832972
"429",8,1.05939648
"430",9,1.06043316
"431",10,1.06144
"432",11,1.06241724
"433",12,1.06336512
"434",13,1.06428388
"435",14,1.06517376
"436",15,1.066035
"437",16,1.06686784
"438",17,1.06767252
"439",18,1.06844928
"440",19,1.06919836
"441",20,1.06992
"442",21,1.07061444
"443",22,1.07128192
"444",23,1.07192268
"445",24,1.07253696
"446",25,1.073125
"447",26,1.07368704
"448",27,1.07422332
"449",28,1.07473408
"450",29,1.07521956
"451",30,1.07568
"452",31,1.07611564
"453",32,1.07652672
"454",33,1.07691348
"455",34,1.07727616
"456",35,1.077615
"457",36,1.07793024
"458",37,1.07822212
"459",38,1.07849088
"460",39,1.07873676
"461",40,1.07896
"462",41,1.07916084
"463",42,1.07933952
"464",43,1.07949628
"465",44,1.07963136
"466",45,1.079745
"467",46,1.07983744
"468",47,1.07990892
"469",48,1.07995968
"470",49,1.07998996
"471",50,1.08
"472",51,1.08
"473",52,1.08
"474",53,1.08
"475",54,1.08
"476",55,1.08
"477",56,1.08
"478",57,1.08
"479",58,1.08
"480",59,1.08
"481",60,1.08
"482",61,1.08
"483",62,1.08
"484",63,1.08
"485",64,1.08
"486",65,1.08
"487",66,1.08
"488",67,1.08
"489",68,1.08
"490",69,1.08
"491",70,1.08
"492",71,1.08
"493",72,1.08
"494",73,1.08
"495",74,1.08
"496",75,1.08
"497",76,1.08
"498",77,1.08
"499",78,1.08
"500",79,1.08
"501",80,1.08
"502",81,1.08
"503",82,1.08
"504",83,1.08
"505",84,1.08
"506",85,1.08
"507",86,1.08
"508",87,1.08
"509",88,1.08
"510",89,1.08
"511",90,1.08
"512",91,1.08
"513",92,1.08
"514",93,1.08
"515",94,1.08
"516",95,1.08
"517",96,1.08
"518",97,1.08
"519",98,1.08
"520",99,1.08
"521",100,1.08
"522",101,1.08
"523",102,1.08
"524",103,1.08
"525",104,1.08
"526",105,1.08
"527",106,1.08
"528",107,1.08
"529",108,1.08
"530",109,1.08
"531",110,1.08
"532",111,1.08
"533",112,1.08
"534",113,1.08
"535",114,1.08
"536",115,1.08
"537",116,1.08
"538",117,1.08
"539",118,1.08
"540",119,1.08
"541",120,1.08
"542",121,1.08
"543",122,1.08
"544",123,1.08
"545",124,1.08
"546",125,1.08
"547",126,1.08
"548",127,1.08
"549",128,1.08
"550",129,1.08
"551",130,1.08
"552",131,1.08
"553",132,1.08
"554",133,1.08
"555",134,1.08
"556",135,1.08
"557",136,1.08
"558",137,1.08
"559",138,1.08
"560",139,1.08
"561",140,1.08
"562",141,1.08
"563",142,1.08
"564",143,1.08
"565",144,1.08
"566",145,1.08
"567",146,1.08
"568",147,1.08
"569",148,1.08
"570",149,1.08
"571",150,1.08
