,RealCoupon,FNMA after change,FNMAError,
1/29/2014,3.36115,3.36115,0,0
1/28/2014,3.41467,3.41467,0,0
1/27/2014,3.42489,3.42489,0,0
1/24/2014,3.38218,3.38218,0,0
1/23/2014,3.42598,3.42598,0,0
1/22/2014,3.4813,3.4813,0,0
1/21/2014,3.43062,3.43062,0,0
1/17/2014,3.43708,3.43708,0,0
1/16/2014,3.45706,3.45706,0,0
1/15/2014,3.49478,3.49478,0,0
1/14/2014,3.48341,3.48341,0,0
1/13/2014,3.42646,3.42646,0,0
1/10/2014,3.47184,3.47184,0,0
1/9/2014,3.57494,3.57494,0,0
1/8/2014,3.59637,3.59637,0,0
1/7/2014,3.54285,3.54285,0,0
1/6/2014,3.57635,3.57635,0,0
1/3/2014,3.60326,3.60326,0,0
1/2/2014,3.5997,3.5997,0,0
12/30/2013,3.57467,3.57467,0,0
12/27/2013,3.60938,3.60938,0,0
12/26/2013,3.61108,3.61108,0,0
12/24/2013,3.61006,3.61006,0,0
12/23/2013,3.54225,3.54225,0,0
12/20/2013,3.52072,3.52072,0,0
12/19/2013,3.58946,3.58946,0,0
12/18/2013,3.54228,3.54228,0,0
12/17/2013,3.49989,3.49989,0,0
12/16/2013,3.53072,3.53072,0,0
12/13/2013,3.5291,3.5291,0,0
12/12/2013,3.54275,3.54275,0,0
12/11/2013,3.51569,3.51569,0,0
12/10/2013,3.46476,3.46476,0,0
12/9/2013,3.50449,3.50449,0,0
12/6/2013,3.53577,3.53577,0,0
12/5/2013,3.55213,3.55213,0,0
12/4/2013,3.53796,3.53796,0,0
12/3/2013,3.48201,3.48201,0,0
11/22/2013,3.37657,3.37657,0,0
11/21/2013,3.39022,3.39022,0,0
11/20/2013,3.39539,3.39539,0,0
11/18/2013,3.28922,3.28922,0,0
11/15/2013,3.3275,3.3275,0,0
11/14/2013,3.3344,3.3344,0,0
11/13/2013,3.38633,3.38633,0,0
11/12/2013,3.42394,3.42394,0,0
11/8/2013,3.41853,3.41853,0,0
11/7/2013,3.29153,3.29153,0,0
11/6/2013,3.29973,3.29973,0,0
11/5/2013,3.31201,3.31201,0,0
11/4/2013,3.23876,3.23876,0,0
11/1/2013,3.25928,3.25928,0,0
10/31/2013,3.18036,3.18036,0,0
10/30/2013,3.16114,3.16114,0,0
10/29/2013,3.15432,3.15432,0,0
10/28/2013,3.15932,3.15932,0,0
10/25/2013,3.15212,3.15212,0,0
10/24/2013,3.17723,3.17723,0,0
10/23/2013,3.15417,3.15417,0,0
10/22/2013,3.18366,3.18366,0,0
10/21/2013,3.28095,3.28095,0,0
10/18/2013,3.25857,3.25857,0,0
10/17/2013,3.25461,3.25461,0,0
10/16/2013,3.34533,3.34533,0,0
10/15/2013,3.38973,3.38973,0,0
10/11/2013,3.34888,3.34888,0,0
10/10/2013,3.34593,3.34593,0,0
10/9/2013,3.33121,3.33121,0,0
10/8/2013,3.32901,3.32901,0,0
10/7/2013,3.31522,3.31522,0,0
10/4/2013,3.31439,3.31439,0,0
10/3/2013,3.28508,3.28508,0,0
10/2/2013,3.30787,3.30787,0,0
10/1/2013,3.31544,3.31544,0,0
9/30/2013,3.29525,3.29525,0,0
9/27/2013,3.29489,3.29489,0,0
9/26/2013,3.32335,3.32335,0,0
9/25/2013,3.29616,3.29616,0,0
9/24/2013,3.34069,3.34069,0,0
9/23/2013,3.4029,3.4029,0,0
9/20/2013,3.43161,3.43161,0,0
9/19/2013,3.42348,3.42348,0,0
9/18/2013,3.40411,3.40411,0,0
9/17/2013,3.5863,3.5863,0,0
9/16/2013,3.60503,3.60503,0,0
9/13/2013,3.65073,3.65073,0,0
9/12/2013,3.6663,3.6663,0,0
9/11/2013,3.66718,3.66718,0,0
9/10/2013,3.70256,3.70256,0,0
9/9/2013,3.64949,3.64949,0,0
9/6/2013,3.72124,3.72124,0,0
9/5/2013,3.7867,3.7867,0,0
9/4/2013,3.67957,3.67957,0,0
9/3/2013,3.62303,3.62303,0,0
8/30/2013,3.51811,3.51811,0,0
8/29/2013,3.5164,3.5164,0,0
8/28/2013,3.56452,3.56452,0,0
8/27/2013,3.49501,3.49501,0,0
8/26/2013,3.56494,3.56494,0,0
8/23/2013,3.60146,3.60146,0,0
8/22/2013,3.71019,3.71019,0,0
8/21/2013,3.67464,3.67464,0,0
8/20/2013,3.63068,3.63068,0,0
8/19/2013,3.71105,3.71105,0,0
8/16/2013,3.63423,3.63423,0,0
8/15/2013,3.54246,3.54246,0,0
8/14/2013,3.48409,3.48409,0,0
8/13/2013,3.4866,3.4866,0,0
8/12/2013,3.38388,3.38388,0,0
8/9/2013,3.36395,3.36395,0,0
8/8/2013,3.38149,3.38149,0,0
8/7/2013,3.40953,3.40953,0,0
8/6/2013,3.44309,3.44309,0,0
8/5/2013,3.41781,3.41781,0,0
8/2/2013,3.40357,3.40357,0,0
8/1/2013,3.53287,3.53287,0,0
7/31/2013,3.40954,3.40954,0,0
7/30/2013,3.4286,3.4286,0,0
7/29/2013,3.40615,3.40615,0,0
7/26/2013,3.39532,3.39532,0,0
7/25/2013,3.44079,3.44079,0,0
7/24/2013,3.42968,3.42968,0,0
7/23/2013,3.36391,3.36391,0,0
7/22/2013,3.32208,3.32208,0,0
7/19/2013,3.33139,3.33139,0,0
7/18/2013,3.38885,3.38885,0,0
7/17/2013,3.34387,3.34387,0,0
7/16/2013,3.39147,3.39147,0,0
7/15/2013,3.40503,3.40503,0,0
7/12/2013,3.47482,3.47482,0,0
7/11/2013,3.46797,3.46797,0,0
7/10/2013,3.58537,3.58537,0,0
7/9/2013,3.48802,3.48802,0,0
7/8/2013,3.54464,3.54464,0,0
7/5/2013,3.67325,3.67325,0,0
7/3/2013,3.36892,3.36892,0,0
7/2/2013,3.31182,3.31182,0,0
7/1/2013,3.29795,3.29795,0,0
6/28/2013,3.30945,3.30945,0,0
6/27/2013,3.32066,3.32066,0,0
6/26/2013,3.44275,3.44275,0,0
6/25/2013,3.49791,3.49791,0,0
6/24/2013,3.48428,3.48428,0,0
6/21/2013,3.42906,3.42906,0,0
6/20/2013,3.27319,3.27319,0,0
6/19/2013,3.12738,3.12738,0,0
6/18/2013,2.98213,2.98213,0,0
6/17/2013,2.98385,2.98385,0,0
6/14/2013,2.93282,2.93282,0,0
6/13/2013,2.97052,2.97052,0,0
