asofdate,MBA_CAI_18M,MBA_CAI_OFFICIAL,
12/1/2000,376.7967941,,
1/1/2001,378.8061645,,
2/1/2001,379.6066396,,
3/1/2001,382.0678337,,
4/1/2001,384.1540497,,
5/1/2001,385.03813,,
6/1/2001,388.9956789,,
7/1/2001,391.1729712,,
8/1/2001,392.9678142,,
9/1/2001,392.9763526,,
10/1/2001,390.6371865,,
11/1/2001,391.4358828,,
12/1/2001,391.4486904,,
1/1/2002,394.5776586,,
2/1/2002,395.0686167,,
3/1/2002,395.9551873,,
4/1/2002,399.0307906,,
5/1/2002,403.0338776,,
6/1/2002,408.5692519,,
7/1/2002,412.8491254,,
8/1/2002,417.9650507,,
9/1/2002,422.9518327,,
10/1/2002,426.2907033,,
11/1/2002,429.7786402,,
12/1/2002,432.0658644,,
1/1/2003,435.8579818,,
2/1/2003,437.6047963,,
3/1/2003,442.1497161,,
4/1/2003,449.3486555,,
5/1/2003,456.5806812,,
6/1/2003,464.1869735,,
7/1/2003,469.6266466,,
8/1/2003,476.0372069,,
9/1/2003,481.8742714,,
10/1/2003,484.9591246,,
11/1/2003,488.9856922,,
12/1/2003,491.5827892,,
1/1/2004,496.8929631,,
2/1/2004,500.8028393,,
3/1/2004,506.0610713,,
4/1/2004,513.840622,,
5/1/2004,521.4970774,,
6/1/2004,527.5646787,377.0,
7/1/2004,534.405361,383.5,
8/1/2004,542.8743876,390.0,
9/1/2004,550.2867871,396.5,
10/1/2004,556.3789363,403.0,
11/1/2004,560.2984181,409.5,
12/1/2004,563.7493552,416.0,
1/1/2005,563.569693,480.8,
2/1/2005,565.4200357,545.7,
3/1/2005,568.8122713,610.5,
4/1/2005,574.4661159,675.3,
5/1/2005,578.6908456,740.2,
6/1/2005,584.5022949,805.0,
7/1/2005,587.8280021,812.2,
8/1/2005,593.0737823,819.3,
9/1/2005,596.6680934,826.5,
10/1/2005,597.4785299,833.7,
11/1/2005,598.0833333,840.8,
12/1/2005,624.25,848.0,
1/1/2006,650.2666667,851.8,
2/1/2006,676.1388889,855.7,
3/1/2006,701.8611111,859.5,
4/1/2006,727.4333333,863.3,
5/1/2006,752.8611111,867.2,
6/1/2006,778.1388889,871.0,
7/1/2006,798.4722222,846.8,
8/1/2006,813.8611111,822.7,
9/1/2006,824.3055556,798.5,
10/1/2006,829.8055556,774.3,
11/1/2006,830.3611111,750.2,
12/1/2006,825.9722222,726.0,
1/1/2007,819.5333333,696.3,
2/1/2007,811.0555556,666.7,
3/1/2007,800.5277778,637.0,
4/1/2007,787.95,607.3,
5/1/2007,773.3333333,577.7,
6/1/2007,756.6666667,548.0,
7/1/2007,737.65,509.5,
8/1/2007,716.2777778,471.0,
9/1/2007,692.5555556,432.5,
10/1/2007,666.4833333,394.0,
11/1/2007,638.0555556,355.5,
12/1/2007,607.2777778,317.0,
1/1/2008,576,283.8,
2/1/2008,544.2222222,250.7,
3/1/2008,511.9444444,217.5,
4/1/2008,479.1666667,184.3,
5/1/2008,445.8888889,151.2,
6/1/2008,412.1111111,118.0,
7/1/2008,379.6666667,112.3,
8/1/2008,348.5555556,106.7,
9/1/2008,318.7777778,101.0,
10/1/2008,290.3333333,95.3,
11/1/2008,263.2222222,89.7,
12/1/2008,237.4444444,84.0,
1/1/2009,214.2055556,91.2,
2/1/2009,193.5,98.3,
3/1/2009,175.3333333,105.5,
4/1/2009,159.7055556,112.7,
5/1/2009,146.6111111,119.8,
6/1/2009,136.0555556,127.0,
7/1/2009,127.0388889,121.5,
8/1/2009,119.5555556,116.0,
9/1/2009,113.6111111,110.5,
10/1/2009,109.2055556,105.0,
11/1/2009,106.3333333,99.5,
12/1/2009,105,94.0,
1/1/2010,104.0222222,94.7,
2/1/2010,103.3888889,95.3,
3/1/2010,103.1111111,96.0,
4/1/2010,103.1888889,96.7,
5/1/2010,103.6111111,97.3,
6/1/2010,104.3888889,98.0,
7/1/2010,104.9444444,101.2,
8/1/2010,105.2777778,104.3,
9/1/2010,105.3888889,107.5,
10/1/2010,105.2777778,110.7,
11/1/2010,104.9444444,113.8,
12/1/2010,104.3888889,117.0,
1/1/2011,103.7222222,109.5,
2/1/2011,102.9444444,102.0,
3/1/2011,102.0555556,94.5,
4/1/2011,101.5388889,95.7,
5/1/2011,101.0666667,91.0,
6/1/2011,100.9888889,92.6,
7/1/2011,100.9611111,94.2,
8/1/2011,101.0833333,97.5,
9/1/2011,101.35,100.8,
10/1/2011,101.4333333,98.2,
11/1/2011,101.3888889,96.5,
12/1/2011,101.3611111,97.5,
1/1/2012,101.3666667,101.3,
2/1/2012,101.0277778,98.2,
3/1/2012,100.6111111,100.0,
4/1/2012,100.1111111,101.7,
5/1/2012,99.45,101.9,
6/1/2012,98.6,101.7,
7/1/2012,97.88888889,96.7,
8/1/2012,97.73888889,99.3,
9/1/2012,98.01111111,99.4,
10/1/2012,97.60555556,88.4,
11/1/2012,97.85555556,95.5,
12/1/2012,97.61111111,88.2,
1/1/2013,97.72222222,96.2,
2/1/2013,97.98888889,102.3,
3/1/2013,98.02222222,101.4,
4/1/2013,98.27777778,102.8,
5/1/2013,98.8,105.9,
6/1/2013,99.53888889,110.8,
7/1/2013,100.3277778,115.5,
8/1/2013,101.2444444,114.7,
9/1/2013,102.25,118.1,
10/1/2013,103.4611111,123.5,
11/1/2013,104.1111111,113.6,
12/1/2013,104.7277778,112.8,
1/1/2014,105.6555556,113.4,
2/1/2014,106.5166667,114.8,
3/1/2014,107.6055556,119.0,
4/1/2014,109.5166667,122.8,
5/1/2014,111.2222222,126.2,
6/1/2014,113.4055556,127.5,
7/1/2014,115.3055556,130.4,
8/1/2014,116.8722222,130.5,
9/1/2014,118.4777778,130.3,
10/1/2014,120.0833333,131.7,
11/1/2014,121.5833333,132.9,
12/1/2014,122.8888889,134.3,
1/1/2015,123.9722222,135.0,
2/1/2015,125.1888889,136.6,
3/1/2015,126.4611111,141.0,
4/1/2015,127.6555556,145.0,
5/1/2015,129.6222222,149.0,
6/1/2015,131.7277778,150.7,
7/1/2015,134.0777778,155.7,
8/1/2015,136.7555556,163.0,
9/1/2015,139.1166667,161.5,
10/1/2015,141.1555556,159.5,
11/1/2015,143.0388889,160.1,
12/1/2015,145.0666667,164.0,
1/1/2016,146.8611111,162.7,
2/1/2016,148.7222222,164.0,
3/1/2016,150.65,165.0,
4/1/2016,152.55,165.9,
5/1/2016,154.2666667,163.8,
6/1/2016,155.9,163.7,
7/1/2016,157.5833,165.3,
8/1/2016,159.14,164.7,
9/1/2016,160.5889,167.0,
10/1/2016,162.05,171.3,
