"aggActuralBaseLoss","aggEstimBassLoss","aggActualExpenses","aggEstimExpenses","aggEstimInterest","aggActualMIRecoveries","aggEstimMIRecoveries","aggActuralTotalLoss","aggEstimTotalLoss","aggActuralTotalSeverity","aggEstimTotalSeverity"
0.296056075518652,0.35643811955038,0.0656734144465831,0.117735571098836,0.0814044937302305,41209.040603088,0.197402076055037,14875.3140228347,41661.1300143874,0.131942107255749,0.35817610832441
0.239018112811578,0.368543593058146,0.0862244500793622,0.133179126626226,0.0901379560349226,30815.2254329757,0.167866278211108,8664.60658243936,46797.0386586914,0.0895293107774927,0.423994397508187
0.35534291464225,0.34660128332486,0.0754409807463959,0.116027707580887,0.0844693843623126,51793.1118622721,0.219630327317912,7439.58725938216,42591.9315767139,0.0557950012676387,0.327468047950148
0.298448959966514,0.354713110121945,0.066764524487619,0.118729722980815,0.0835503179476283,29930.787973675,0.1818130132438,8450.93323371913,45271.3377757808,0.0757369302956064,0.375180137806589
0.343973957511957,0.350698331324086,0.0848644137442877,0.121677010537401,0.0886976584756433,33749.7114901295,0.190575260514105,16452.8369663747,44267.1908389228,0.116334704674042,0.370497739823025
0.335871730389546,0.364184857309329,0.0786515875236745,0.128426393942404,0.0923337287670075,34706.9850898657,0.193544293169184,12749.2248922491,45130.7127857283,0.140359404264808,0.391400686849557
0.405888807891555,0.361922591431199,0.0774680913494084,0.126917203385129,0.0896908413908325,19908.2262494442,0.168480850150531,13712.4146447244,45872.5484978343,0.139609246621061,0.410049786056629
0.432392018845755,0.351092027632183,0.0747816200103799,0.119884825647525,0.0942362610788191,28492.744853054,0.162019954933981,14688.8544002382,53755.1595086172,0.126192875658513,0.403193159424547
0.246418288448879,0.355694550228956,0.0955308281245617,0.126089877873813,0.099393825061596,19275.9870679992,0.13338410854503,15412.6432173458,57904.9228869192,0.144489141261601,0.447794144619335
0.441221034064556,0.360137706436831,0.0728162381095512,0.1202039114297,0.0965429119583284,26288.9881321513,0.182580886881773,13410.467142458,52331.6476934835,0.113600588351924,0.394303642943087
0.31935564861718,0.360656910148008,0.0828661646817392,0.130524045123568,0.0948036573688886,14554.4565590099,0.156958647025982,15250.865617568,49646.3317154211,0.14839530313005,0.429025965614483
0.34240411814987,0.357268828402856,0.0821299675773337,0.128151760010989,0.0965624863740586,25555.7243426706,0.146759797248731,14981.8891877047,51878.9030881838,0.146078236907208,0.435223277539174
0.386867123469309,0.355976332438911,0.0780941838864727,0.123116225394537,0.0960988172308556,35467.6761466401,0.184090404663702,15749.8189141882,46395.8238410765,0.133968508156288,0.391100970400602
0.384161244821805,0.343475480395814,0.0823684531590101,0.128560594456566,0.0995901127381224,25656.724754822,0.171291379671684,13626.5650097923,50091.9299856608,0.125161545957695,0.400334807918818
0.323089911662679,0.352711497856186,0.0879724708455565,0.128327369390145,0.0973230786085229,29626.241364814,0.169092871853671,14792.5474640402,48545.5696994531,0.140538569666267,0.409269074001183
0.353486799996778,0.352441260045251,0.0860163786646651,0.125737164551556,0.0993086773503122,20491.9980885735,0.17946810779734,9520.42866582451,49347.228343065,0.0992196285695837,0.398018994149779
0.34859434474336,0.363118069424533,0.0835646761401129,0.133594962954372,0.0999886989593352,26150.2386064235,0.178711710981772,13380.8422125501,47028.0313533333,0.136898510050486,0.417990020356469
0.375413265526777,0.35951107977557,0.0877842727825996,0.135577006878458,0.101709036844621,23323.2128082187,0.178240247724741,13361.3968234496,45855.4506969252,0.141721390388974,0.418556875773908
0.376629581766296,0.351197737259258,0.0906444785072805,0.129917981851231,0.103340745307172,31431.0361431746,0.166305477764626,14012.8810189261,50815.0536891413,0.129214558604742,0.418150986653034
0.352107980700999,0.353136407622102,0.0876891871599017,0.132689138729593,0.102731516771194,21421.9102304026,0.155871255042545,15995.3084592999,50309.1030535906,0.157324387302535,0.432685808080345
0.424436370966005,0.352068535272525,0.0849897196460853,0.127957206696007,0.0993735966764009,26467.7500840358,0.155924200874392,12875.0967764017,52955.5900906035,0.130375212336119,0.423475137770541
0.37558535416039,0.351990587228973,0.0835169529832335,0.127795308643582,0.0993594371337852,26101.3089182991,0.154918702045722,15855.8085155404,52800.2556176456,0.14538516557515,0.424226630960618
0.356619652775933,0.354704541824986,0.0863170912870266,0.134387965111982,0.103437399907851,22179.0914414139,0.175199777438368,16173.3572212454,48035.4262512793,0.159800200129712,0.417330129406451
0.344935575071877,0.350964173091174,0.0864007550602086,0.134050164190905,0.101085026351816,25109.4877381898,0.173154849351278,12435.4639699269,47729.9542863092,0.129918181546989,0.412944514282617
0.365092234332205,0.357493632037988,0.0862854459166064,0.136582761647453,0.104747881065031,22106.993450752,0.165850107402239,15809.8675122559,50664.8034240304,0.14339093130415,0.432974167348234
0.427229144313695,0.35278242614682,0.0786344132876552,0.13315155751475,0.104389426503823,20760.0246450506,0.159936107188095,14746.1446322703,50010.7820167516,0.140626651376466,0.430387302977298
0.448885445052082,0.350491654056508,0.0785370345162353,0.130407767711109,0.0993651866350009,25918.9213135806,0.170267837846959,12607.3725886611,48534.4998920446,0.113971091372288,0.409996770555659
0.373248159445668,0.352893987944864,0.0815789049606123,0.131109747159842,0.0983073602134838,17747.3210777963,0.164099814364914,12287.143340308,50737.1191484924,0.117364766574403,0.418211280953276
0.367665846442232,0.343830180451392,0.0797824235732214,0.127585748116358,0.0983506278212821,23716.6924049222,0.187554012188119,13152.3196406035,47002.1662542026,0.124265030523669,0.382212544200914
0.340864166001884,0.347400551847344,0.0869925249280745,0.13312234627593,0.100501450616427,20894.8111924504,0.179774226418439,14978.1908575589,46511.6066043996,0.143383349564273,0.401250122321262
