'loanID','beginLoanAge','JudicialFlag','origbalance','loanpurpose','occupancyStatus','propertyType','beginCoupon','currentValue','UPB','expenses','netSaleProceeds','timeDQ','ActuralLoss'
'F109Q4158330',47,'0',328000.00,'RE-FI-CO','OWNER','SFR',4.875,370189.00,315160.52,-42782.00,'260000',18,113362.78
'F109Q4160429',46,'0',212000.00,'RE-FI-NCO','OWNER','PUD',5.125,242978.50,203479.19,-19097.00,'173700',15,58056.70
'F109Q4170260',50,'0',47000.00,'RE-FI-CO','INV','SFR',5.750,60373.06,44357.65,-9517.00,'11200',14,43069.93
'F109Q4173982',37,'0',104000.00,'RE-FI-NCO','OWNER','SFR',4.875,130560.00,99326.62,-789.00,'87500',4,14146.91
'F109Q4175967',28,'1',417000.00,'PURCH','INV','PUD',5.875,536917.28,412653.63,-7285.00,'432600',20,24861.91
'F109Q4176880',54,'1',248000.00,'RE-FI-CO','OWNER','SFR',5.500,306683.00,237401.56,-440.00,'',19,257575.56
'F109Q4180754',56,'0',128000.00,'RE-FI-NCO','OWNER','CONDO',5.250,155488.00,120682.01,-14540.00,'83500',14,54229.79
'F109Q4183366',43,'0',234000.00,'PURCH','OWNER','SFR',5.250,247390.00,226873.44,-12433.00,'164900',19,30062.25
'F109Q4198544',30,'0',195000.00,'PURCH','OWNER','SFR',5.125,221544.38,190230.61,-6864.00,'171100',11,33347.54
'F109Q4204848',50,'0',240000.00,'RE-FI-CO','OWNER','SFR',4.990,255840.00,229233.67,-13442.00,'240500',17,16448.71
'F109Q4225452',27,'0',47000.00,'RE-FI-CO','OWNER','SFR',5.375,64316.14,46478.93,-5985.00,'27400',10,25981.97
'F109Q4229124',50,'0',111000.00,'RE-FI-CO','OWNER','SFR',5.250,146925.00,107853.29,-16087.00,'70200',26,58220.40
'F109Q4229137',31,'0',352000.00,'RE-FI-CO','OWNER','SFR',5.250,396880.00,343580.18,-25932.00,'293600',12,83670.19
'F109Q4248650',27,'1',200000.00,'RE-FI-CO','OWNER','SFR',5.375,288515.15,194808.88,-195.00,'78300',6,121695.86
'F109Q4251234',35,'0',139000.00,'RE-FI-NCO','OWNER','SFR',5.250,141045.05,138109.17,-17032.00,'106800',31,38663.26
'F109Q4254091',29,'0',134000.00,'RE-FI-CO','OWNER','SFR',5.000,220734.54,131463.40,-12342.00,'58100',13,90573.29
'F109Q4254264',51,'1',113000.00,'PURCH','OWNER','CONDO',4.875,122579.88,105490.69,-1226.00,'84200',6,1043.16
'F109Q4254623',55,'1',54000.00,'RE-FI-CO','OWNER','SFR',5.375,84190.91,51641.69,-15787.00,'32000',20,37426.75
'F109Q4255550',50,'1',417000.00,'RE-FI-CO','OWNER','SFR',5.500,636149.54,400132.55,-14003.00,'368300',16,71031.83
'F109Q4257831',38,'0',139000.00,'RE-FI-CO','OWNER','SFR',5.250,163742.00,136408.19,-20570.00,'89400',25,80630.38
'F110Q1001344',24,'1',71000.00,'PURCH','OWNER','CONDO',6.250,79972.63,71132.44,-21126.00,'34300',24,65518.33
'F110Q1003627',33,'0',128000.00,'RE-FI-NCO','OWNER','CONDO',5.125,149744.00,123876.71,-3366.00,'99100',8,30829.70
'F110Q1007688',31,'0',166000.00,'RE-FI-CO','OWNER','SFR',5.250,190028.50,161569.23,-2781.00,'122800',11,48955.49
'F110Q1023135',29,'1',365000.00,'RE-FI-NCO','OWNER','CONDO',5.250,361958.33,357586.46,-14687.00,'191600',14,102869.67
'F110Q1023885',39,'0',417000.00,'PURCH','OWNER','PUD',5.375,552882.42,406659.94,-21284.00,'419900',19,39928.69
'F110Q1024345',49,'1',239000.00,'RE-FI-NCO','OWNER','SFR',5.250,326425.51,232770.64,-41899.00,'243200',27,48635.34
'F110Q1028507',48,'1',124000.00,'RE-FI-NCO','OWNER','SFR',5.375,153093.50,121250.04,-26212.00,'83100',30,77595.20
'F110Q1042088',34,'1',220000.00,'RE-FI-CO','OWNER','SFR',4.780,282937.83,213383.35,-3866.00,'186600',12,38359.62
'F110Q1050088',41,'0',278000.00,'RE-FI-NCO','OWNER','SFR',4.750,331563.48,272605.67,-24526.00,'143700',27,143148.99
'F110Q1053941',52,'0',84000.00,'PURCH','OWNER','SFR',5.250,118115.20,80425.28,-13082.00,'67100',19,31508.28
'F110Q1055510',36,'0',344000.00,'PURCH','OWNER','PUD',5.250,381539.00,335341.05,-18354.00,'306100',16,58884.12
'F110Q1063694',54,'0',44000.00,'PURCH','OWNER','SFR',5.625,54708.50,41941.40,-4898.00,'5300',17,44733.06
'F110Q1080224',40,'0',59000.00,'RE-FI-NCO','INV','SFR',5.750,71712.53,57092.44,-14496.00,'36000',20,40562.91
'F110Q1081430',47,'0',417000.00,'RE-FI-NCO','OWNER','CONDO',4.875,609341.24,397166.66,-1005.00,'323500',12,93040.62
'F110Q1081492',46,'0',128000.00,'PURCH','OWNER','SFR',4.875,156048.00,123920.43,-8082.00,'119000',22,21782.85
'F110Q1083987',25,'1',308000.00,'RE-FI-CO','OWNER','SFR',5.500,375221.00,305953.94,-28968.00,'158600',20,198364.91
'F110Q1086128',52,'1',110000.00,'PURCH','OWNER','SFR',5.500,121921.25,109392.43,-49020.00,'75000',48,105131.84
'F110Q1106639',40,'1',205000.00,'RE-FI-CO','OWNER','SFR',5.250,239668.35,195425.52,-159.00,'165000',3,31220.34
'F110Q1113388',40,'1',126000.00,'RE-FI-NCO','OWNER','PUD',5.250,143171.16,122510.80,-17357.00,'108100',18,7511.11
'F110Q1124361',14,'0',272000.00,'RE-FI-CO','OWNER','PUD',5.250,304062.00,271688.01,-24933.00,'277500',14,32501.48
'F110Q1124890',50,'1',112000.00,'RE-FI-NCO','OWNER','SFR',5.375,138837.47,106956.35,-12967.00,'70500',15,54273.24
'F110Q1138573',41,'0',65000.00,'RE-FI-NCO','INV','SFR',5.875,94594.69,62102.46,-8502.00,'42500',10,29964.51
'F110Q1165760',36,'0',112000.00,'RE-FI-CO','OWNER','SFR',5.250,134050.00,109173.51,-9590.00,'43800',16,81576.74
'F110Q1175156',18,'1',345000.00,'RE-FI-CO','2ND','PUD',5.000,442382.00,342910.01,-4473.00,'176800',14,189585.94
'F110Q1178959',46,'0',113000.00,'PURCH','OWNER','SFR',4.875,119399.36,108792.79,-12819.00,'77100',21,6708.21
'F110Q2009710',23,'1',162000.00,'RE-FI-NCO','OWNER','SFR',5.000,171954.00,157948.98,-145.00,'136500',4,110.84
'F110Q2016316',8,'0',128000.00,'RE-FI-NCO','OWNER','SFR',5.125,146618.18,127249.87,-3639.00,'114900',7,-250.46
'F110Q2025512',46,'1',143000.00,'RE-FI-NCO','OWNER','SFR',5.250,163459.99,137934.08,-21307.00,'100300',21,21983.31
'F110Q2026724',35,'1',141000.00,'RE-FI-NCO','OWNER','SFR',5.625,176355.75,138142.92,-4628.00,'90100',19,64427.46
'F110Q2039621',50,'1',276000.00,'RE-FI-NCO','OWNER','SFR',5.125,355729.50,266467.57,-29875.00,'239700',24,77868.16
'F110Q2051818',36,'0',122000.00,'RE-FI-NCO','OWNER','SFR',4.875,140394.88,117561.16,-4980.00,'77000',8,12054.96
'F110Q2051990',35,'0',89000.00,'PURCH','OWNER','SFR',5.500,112451.50,86351.21,-12708.00,'47500',13,55535.44
'F110Q2053244',38,'0',400000.00,'RE-FI-CO','OWNER','SFR',4.950,489450.00,389908.85,-15241.00,'319600',18,109708.42
