"aggActualExpenses","aggEstimExpenses"
5834.27898966705,2507.46612110233
2109.99695740365,2356.06563836071
3840.01777251185,2862.44160530383
-3849.90625,2713.35126204739
1834.03152173913,2373.50819980318
1591.99322362052,2192.5975748461
1149.04051383399,1862.34900682209
-139.645933014354,1591.33341850963
697.688983050847,1961.93821232523
1359.40594059406,1404.7223623051
835.012811867835,909.910455263852
-166.964841108857,709.224165850683
-1506.64619678995,627.285745062893
-302.959661678595,594.412135470278
-3130.14119170984,908.612750289236
-6523.69209039548,842.891924680319
-4362.2100591716,530.336728017925
-5325.31207169215,537.699912376829
-7412.59252561784,469.355375056274
-6650.47418546366,927.394830853119
-5914.67105822354,913.366046619793
-6806.74476110645,783.854231970023
-5419.39968895801,666.70798036134
-4269.21033454786,759.680568180215
-6582.39171672463,543.32376579817
-3426.13306451613,821.587785721178
-4032.92238713667,746.691443177422
-1925.14495744132,869.190012487824
-4361.55675368899,1022.26293076661
-3981.1681544029,1122.30906553927
-2814.95104697227,1374.00712853416
-4091.01945226517,1597.05947153058
-495.455070371707,1812.24306176417
212.824528301887,1895.72730382936
-1015.90541066563,2120.08309889542
-475.912944615884,2067.99001248179
-762.157248157248,2361.61330532179
-1105.5296961326,2559.67706517703
-1141.53097627011,2665.85115828076
-1850.58438934803,2613.64352246916
-2324.22563343814,2752.23778050061
1900.20047947258,3171.62244076341
1691.06470873003,3692.66801842368
4119.63049095607,4045.66512800478
5411.45371428571,4321.29964780287
5497.71379800853,4131.37466548182
5324.37339695795,4057.92730121128
5332.12203791469,4054.04603625874
5802.68224146381,4319.77409841002
5729.28843516684,4399.06259277414
6313.92367906067,4606.44892828629
6519.29984437143,4806.54746181891
7067.72647406657,5035.19017416718
6501.55984444765,5130.47188850818
7544.20250041125,5581.21010655453
8128.41855304039,5718.68368136496
9065.09381318237,5849.00209941177
8212.84198549282,5939.68652783623
8874.45966375603,6145.21792723164
9486.28835016835,6410.63211395122
8733.58986305238,6417.41525153634
8737.89453226224,6571.14782517401
8913.8097758406,6712.65946709264
9770.08092004988,6875.64494772331
9806.42528917763,6917.7351775358
9584.16186928547,7139.70194570638
11436.6864825316,7821.04224907137
11384.7252904379,7743.44694353863
12749.1931765072,8277.0746798024
13587.6553163078,8700.88426392782
14382.8817112664,9227.98178172289
15470.4678698929,9315.15364770994
14606.090617482,9769.02056254865
16161.3895336569,10627.182123279
17804.48299655,11083.8896976133
19302.4415156507,12283.4902120162
18618.195636003,12118.3952506694
20075.0927687916,12840.4512599767
20833.111348528,13728.2564522576
20986.6390673329,13571.7805517183
22806.7095417312,14027.7731198423
22157.6456570156,14474.0719263245
22090.257704918,14390.2393143281
