"LoanID","Index","DelinqStatus","EndStatus"
"F100Q1001088",64,1,"btc"
"F100Q1001088",71,2,"btc"
"F100Q1001088",73,1,"btc"
"F100Q1001088",81,1,"btc"
"F100Q1001088",83,1,"btc"
"F100Q1001088",87,1,"btc"
"F100Q1001088",89,1,"btc"
"F100Q1001088",105,14,"btc"
"F100Q1001088",119,14,"btc"
"F100Q1001088",120,13,"btc"
"F100Q1001088",123,12,"btc"
"F100Q1001088",124,11,"btc"
"F100Q1001088",125,10,"btc"
"F100Q1001088",127,10,"btc"
"F100Q1001088",130,8,"btc"
"F100Q1001088",131,7,"btc"
"F100Q1001088",133,6,"btc"
"F100Q1001088",135,5,"btc"
"F100Q1001088",136,4,"btc"
"F100Q1001088",137,3,"btc"
"F100Q1001088",141,2,"btc"
"F100Q1001102",36,6,"btc"
"F100Q1001108",10,1,"btc"
"F100Q1001109",44,1,"btc"
"F100Q1001122",6,2,"btc"
"F100Q1001122",114,35,"btc"
"F100Q1001127",51,4,"btc"
"F100Q1001129",14,1,"btc"
"F100Q1001135",128,1,"btc"
"F100Q1001139",6,1,"btc"
"F100Q1001139",23,1,"btc"
"F100Q1001177",14,5,"FC"
"F100Q1001233",42,1,"btc"
"F100Q1001233",76,1,"btc"
"F100Q1001252",4,1,"btc"
"F100Q1001252",8,1,"btc"
"F100Q1001252",16,1,"btc"
"F100Q1001261",22,1,"btc"
"F100Q1001261",28,1,"btc"
"F100Q1001261",31,1,"btc"
"F100Q1001261",54,1,"btc"
"F100Q1001261",65,2,"btc"
"F100Q1001261",68,1,"btc"
"F100Q1001261",78,1,"btc"
"F100Q1001291",4,1,"btc"
"F100Q1001291",13,1,"btc"
"F100Q1001312",6,1,"btc"
"F100Q1001312",19,2,"btc"
"F100Q1001312",24,1,"btc"
"F100Q1001312",38,7,"btc"
"F100Q1001316",22,1,"btc"
"F100Q1001338",13,1,"btc"
"F100Q1001340",29,1,"btc"
"F100Q1001344",10,1,"btc"
"F100Q1001344",42,5,"btc"
"F100Q1001344",51,4,"btc"
"F100Q1001345",15,1,"btc"
"F100Q1001345",18,1,"btc"
"F100Q1001345",26,1,"btc"
"F100Q1001350",49,1,"btc"
"F100Q1001350",57,1,"btc"
"F100Q1001351",14,1,"btc"
"F100Q1001354",14,1,"btc"
"F100Q1001362",6,1,"btc"
"F100Q1001363",5,1,"btc"
"F100Q1001365",3,1,"btc"
"F100Q1001367",96,1,"btc"
"F100Q1001372",3,1,"btc"
