"loanID","HPA2Yr","currentValue","UPB","CLTV","BaseSev"
"103507702934",0.97951803963026266569081889,268686.00,266554.88,0.99206836232628421,0.36
"103519093568",1.12833214695584913878851931,72270.25,66635.40,0.92203084948509241,0.04
"103538475737",0.97057920886522009605096175,396435.00,359142.00,0.90592909304173445,0.14
"103572748398",0.93612292230382682643989176,343182.00,331687.50,0.96650611046033882,0.56
"103590357979",0.95030265674142051111848655,278983.56,251094.70,0.90003403784796494,0.42
"103599578264",0.87313897780737346523088962,89365.50,82567.99,0.92393585891647224,0.75
"103605708079",0.97390452876376988984088127,169459.79,161645.16,0.95388504848259283,0.12
"103624015414",1.08806642157875170391176835,167176.88,164116.89,0.98169609338324773,0.28
"103641196184",0.98175014569211422261755053,178869.66,165400.65,0.92469930339220189,0.24
"103648369437",0.92409813095209822594817963,221561.33,209148.64,0.94397627961521985,0.26
"103660321242",0.92001398711831410104564989,173872.19,167675.53,0.96436083309239965,0.38
"103677542955",1.26960539460539460539460539,284653.25,262124.97,0.92085711299625070,-0.03
"103682788028",1.01264089184710546858950655,326695.87,304226.89,0.93122355663694187,0.25
"103685802343",0.98240792992614765561743994,274292.86,255962.27,0.93317146498089669,0.26
"103696387119",0.97857954026289728175480721,201340.00,186446.66,0.92602890632760504,0.25
"103709504129",0.69353276098491772491504203,131748.75,122483.69,0.92967629673905824,0.46
"103726933479",0.73328046211027232631748525,424688.44,409892.45,0.96516036556116290,0.04
"103734093567",0.96422691631553836011233685,95758.00,95441.38,0.99669353996532926,0.54
"103740883694",0.97327793100977811613180946,54852.00,53370.57,0.97299223364690439,0.90
"103746053769",0.83749912319670925495204096,91996.90,85285.07,0.92704286774880457,0.71
"103749455310",0.85483970826780810208186299,74647.42,73712.83,0.98747994237443169,0.78
"103767863737",1.07456063268892794376098418,73721.05,73284.24,0.99407482666077056,0.73
"103769843737",1.01130081698547037816153808,97704.00,88029.79,0.90098450421681814,0.50
"103774928032",0.96117748358626735550532773,155875.90,146993.19,0.94301421836217144,0.62
"103797835119",0.91318260029583119509765448,217318.19,212769.53,0.97906912440233373,0.22
"103809138916",0.96988906497622820919175911,187698.00,181944.35,0.96934623704035205,0.51
"103848096346",0.89899801208811068050842352,254783.29,241428.85,0.94758510261799351,0.35
"103860839237",0.85724248927038626609442060,346124.99,320376.42,0.92560904082655228,0.21
